year,state,name,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,total,dualrelig,datatype,sourcereliab,recreliab,reliabilevel,Version,sourcecode
1960,520,SOM,716,9875,66,562,0,11219,0,0,0,0,0,3765000,0,0,0,0,0,0,3765000,0,0,0,0,0,682,0,0,861,0,0,0,0,0,6386,852,3784148,3785000,0.0002,0.0026,0,0.0001,0,0.003,0,0,0,0,0,0.9947,0,0,0,0,0,0,0.9947,0,0,0,0,0,0.0002,0,0,0.0002,0,0,0,0,0,0.0017,0.0002,0.9998,1,0,13,9,24,Medium,1.1,2
1965,520,SOM,724,8085,148,386,0,9343,0,0,0,0,0,4209000,0,0,0,0,0,0,4209000,0,0,0,0,0,674,0,0,894,0,0,0,0,0,5528,13561,4225439,4239000,0.0002,0.0019,0,0.0001,0,0.0022,0,0,0,0,0,0.9929,0,0,0,0,0,0,0.9929,0,0,0,0,0,0.0002,0,0,0.0002,0,0,0,0,0,0.0013,0.0032,0.9968,1,0,13,9,24,Medium,1.1,2
1970,520,SOM,733,5078,332,266,107,6516,0,0,0,0,0,4778000,0,0,0,0,0,0,4778000,0,0,0,0,0,666,0,0,929,0,0,0,0,0,4786,103,4790897,4791000,0.0002,0.0011,0.0001,0.0001,0,0.0014,0,0,0,0,0,0.9973,0,0,0,0,0,0,0.9973,0,0,0,0,0,0.0001,0,0,0.0002,0,0,0,0,0,0.001,0,1,1,0,13,4,10,Medium,1.1,7
1975,520,SOM,741,3189,743,183,1619,6475,0,0,0,0,0,5401000,0,0,0,0,0,0,5401000,0,0,0,0,0,658,0,0,964,0,0,0,0,2050,4143,55710,5415290,5471000,0.0001,0.0006,0.0001,0,0.0003,0.0012,0,0,0,0,0,0.9872,0,0,0,0,0,0,0.9872,0,0,0,0,0,0.0001,0,0,0.0002,0,0,0,0,0.0004,0.0008,0.0102,0.9898,1.0001,0,3,99,35,Low,1.1,99
1980,520,SOM,750,1300,1154,100,3132,6436,0,0,0,0,0,6695000,0,0,0,0,0,0,6695000,0,0,0,0,0,650,0,0,1000,0,0,0,0,4100,3500,2314,6710686,6713000,0.0001,0.0002,0.0002,0,0.0005,0.001,0,0,0,0,0,0.9973,0,0,0,0,0,0,0.9973,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0.0006,0.0005,0.0003,0.9997,0.9999,0,134,4,10,Medium,1.1,7
1985,520,SOM,875,900,1565,62,2994,6396,0,0,0,0,0,7647500,0,0,0,0,0,157500,7805000,0,0,0,0,0,1525,0,0,1050,0,0,0,0,6150,3200,51679,7823321,7875000,0.0001,0.0001,0.0002,0,0.0004,0.0008,0,0,0,0,0,0.9711,0,0,0,0,0,0.02,0.9911,0,0,0,0,0,0.0002,0,0,0.0001,0,0,0,0,0.0008,0.0004,0.0066,0.9934,1,0,134,9,28,Low,1.1,2
1990,520,SOM,1000,500,1975,25,2857,6357,0,0,0,0,0,8424750,0,0,0,0,0,148250,8573000,0,0,0,0,0,2400,0,0,1100,0,0,0,0,8200,2900,29043,8593957,8623000,0.0001,0.0001,0.0002,0,0.0003,0.0007,0,0,0,0,0,0.977,0,0,0,0,0,0.0172,0.9942,0,0,0,0,0,0.0003,0,0,0.0001,0,0,0,0,0.001,0.0003,0.0034,0.9966,1,0,134,4,10,Medium,1.1,7
1995,520,SOM,1666,339,2386,166,1760,6317,0,0,0,0,0,9142000,0,0,0,0,0,259000,9401000,0,0,0,0,0,4027,0,0,1989,0,0,0,0,8022,3686,65959,9425041,9491000,0.0002,0,0.0003,0,0.0002,0.0007,0,0,0,0,0,0.9632,0,0,0,0,0,0.0273,0.9905,0,0,0,0,0,0.0004,0,0,0.0002,0,0,0,0,0.0008,0.0004,0.0069,0.9931,0.9999,0,13,9,24,Medium,1.1,2
2000,520,SOM,2332,178,2797,307,663,6277,0,0,0,0,0,9945545,100970,0,0,0,0,0,10046515,0,0,0,0,0,5654,0,0,2878,0,0,0,0,7845,4473,23358,10073642,10097000,0.0002,0,0.0003,0,0.0001,0.0006,0,0,0,0,0,0.985,0.01,0,0,0,0,0,0.995,0,0,0,0,0,0.0006,0,0,0.0003,0,0,0,0,0.0008,0.0004,0.0023,0.9977,1,0,24,5,20,Medium,1.1,83
2005,520,SOM,1771,130,1896,220,492,4509,0,0,0,0,0,8228690,75186,0,0,0,0,0,8303876,0,0,0,0,0,4737,0,0,1554,0,0,0,0,6274,4185,28865,8325135,8354000,0.0002,0,0.0002,0,0.0001,0.0005,0,0,0,0,0,0.985,0.009,0,0,0,0,0,0.994,0,0,0,0,0,0.0006,0,0,0.0002,0,0,0,0,0.0008,0.0005,0.0035,0.9965,1.0001,0,24,5,20,Medium,1.1,83
2010,520,SOM,1819,100,1698,220,496,4333,0,0,0,0,0,9190389,93303,0,0,0,0,0,9283692,0,0,0,0,0,5225,0,0,2678,0,0,0,0,6820,4087,23510,9306835,9330345,0.0002,0,0.0002,0,0.0001,0.0005,0,0,0,0,0,0.985,0.01,0,0,0,0,0,0.995,0,0,0,0,0,0.0006,0,0,0.0003,0,0,0,0,0.0007,0.0004,0.0025,0.9975,1,0,24,5,20,Medium,1.1,83
1980,522,DJI,200,9400,8000,0,0,17600,0,0,0,0,0,0,0,0,0,0,140,330735,330875,0,0,0,0,0,300,0,0,140,0,0,0,0,0,5467,618,354382,355000,0.0006,0.0265,0.0225,0,0,0.0496,0,0,0,0,0,0,0,0,0,0,0.0004,0.9316,0.932,0,0,0,0,0,0.0008,0,0,0.0004,0,0,0,0,0,0.0154,0.0017,0.9983,0.9999,0,134,4,10,Medium,1.1,7
1985,522,DJI,175,8700,4300,0,4300,17475,0,0,0,0,0,0,0,0,0,0,0,404000,404000,0,0,0,0,0,215,0,0,270,0,0,0,0,0,5892,2148,427852,430000,0.0004,0.0202,0.01,0,0.01,0.0406,0,0,0,0,0,0,0,0,0,0,0,0.9395,0.9395,0,0,0,0,0,0.0005,0,0,0.0006,0,0,0,0,0,0.0137,0.005,0.995,0.9999,0,13,2,10,Medium,1.1,13
1990,522,DJI,150,8000,10340,0,5170,23660,0,0,0,0,0,0,0,0,0,0,0,484500,484500,0,0,0,0,0,130,0,0,400,0,0,0,0,0,6350,1960,515040,517000,0.0003,0.0155,0.02,0,0.01,0.0458,0,0,0,0,0,0,0,0,0,0,0,0.9371,0.9371,0,0,0,0,0,0.0003,0,0,0.0008,0,0,0,0,0,0.0123,0.0038,0.9962,1.0001,0,13,4,10,Medium,1.1,7
1995,522,DJI,319,7049,12020,0,7020,26408,0,0,0,0,0,0,0,0,0,0,0,564940,564940,0,0,0,0,0,192,0,0,476,0,0,0,0,0,6843,2141,598859,601000,0.0005,0.0117,0.02,0,0.0117,0.0439,0,0,0,0,0,0,0,0,0,0,0,0.94,0.94,0,0,0,0,0,0.0003,0,0,0.0008,0,0,0,0,0,0.0114,0.0036,0.9964,1,0,13,5,24,Medium,1.1,1
2000,522,DJI,489,5200,4708,0,0,10397,0,0,0,0,0,622050,0,0,0,0,0,0,622050,0,0,0,0,0,255,0,0,0,0,0,0,0,0,4500,798,637202,638000,0.0008,0.0082,0.0074,0,0,0.0163,0,0,0,0,0,0.975,0,0,0,0,0,0,0.975,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0.0071,0.0013,0.9987,1.0001,0,24,5,20,Medium,1.1,83
2005,522,DJI,605,5000,4900,0,620,11125,0,0,0,0,0,784875,0,0,0,0,0,0,784875,0,0,0,0,0,321,0,0,693,0,0,0,0,0,6700,1286,803714,805000,0.0008,0.0062,0.0061,0,0.0008,0.0138,0,0,0,0,0,0.975,0,0,0,0,0,0,0.975,0,0,0,0,0,0.0004,0,0,0.0009,0,0,0,0,0,0.0083,0.0016,0.9984,1,0,24,5,20,Medium,1.1,83
2010,522,DJI,656,6100,5500,0,0,12256,0,0,0,0,0,860869,0,0,0,0,0,0,860869,0,0,0,0,0,352,0,0,764,0,0,0,0,0,8500,202,882741,882943,0.0007,0.0069,0.0062,0,0,0.0139,0,0,0,0,0,0.975,0,0,0,0,0,0,0.975,0,0,0,0,0,0.0004,0,0,0.0009,0,0,0,0,0,0.0096,0.0002,0.9998,1,0,24,5,20,Medium,1.1,83
1945,530,ETH,47452,46436,7246028,1199,769244,8110359,0,0,0,20490,20490,0,0,0,0,0,0,4918820,4918820,0,0,0,0,0,1044,0,0,1021,0,0,0,0,4150000,0,266,17201734,17202000,0.0028,0.0027,0.4212,0.0001,0.0447,0.4715,0,0,0,0.0012,0.0012,0,0,0,0,0,0,0.2859,0.2859,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0.2413,0,0,1,1.0001,0,3,99,35,Low,1.1,99
1950,530,ETH,106086,47758,7252012,1396,1080599,8487851,0,0,0,21139,21139,0,0,0,0,0,0,5306940,5306940,0,0,0,0,0,1198,0,0,1453,0,0,0,0,5753829,0,590,19572410,19573000,0.0054,0.0024,0.3705,0.0001,0.0552,0.4337,0,0,0,0.0011,0.0011,0,0,0,0,0,0,0.2711,0.2711,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0.294,0,0,1,1.0001,0,13,4,10,Medium,1.1,7
1955,530,ETH,237171,49117,7258000,1624,1337000,8882912,0,0,0,21808,21808,0,0,0,0,0,0,5730000,5730000,0,0,0,0,0,1375,0,0,2068,0,0,0,0,4429414,0,32423,19067577,19100000,0.0124,0.0026,0.38,0.0001,0.07,0.4651,0,0,0,0.0011,0.0011,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0.2319,0,0.0017,0.9983,1,0,34,5,24,Medium,1.1,15
1960,530,ETH,368256,50475,8205849,1890,1606000,10232470,0,0,0,22476,22476,0,0,0,0,0,0,7245000,7245000,0,0,0,0,0,1577,0,0,2942,0,0,0,0,3105000,0,90535,20609465,20700000,0.0178,0.0024,0.3964,0.0001,0.0776,0.4943,0,0,0,0.0011,0.0011,0,0,0,0,0,0,0.35,0.35,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0.15,0,0.0044,0.9956,1,0,134,10,28,Low,1.1,12
1965,530,ETH,499341,51834,8877768,2200,1818356,11249499,0,0,0,23145,23145,0,0,0,0,0,0,7717660,7717660,0,0,0,0,0,1810,0,0,4187,0,0,0,0,3625288,0,77411,22621589,22699000,0.022,0.0023,0.3911,0.0001,0.0801,0.4956,0,0,0,0.001,0.001,0,0,0,0,0,0,0.34,0.34,0,0,0,0,0,0.0001,0,0,0.0002,0,0,0,0,0.1597,0,0.0034,0.9966,1,0,134,5,10,Medium,1.1,15
1970,530,ETH,630426,53192,9419686,2561,2692489,12798354,0,0,0,23813,23813,0,0,0,0,0,0,7653372,7653372,0,0,0,0,0,2077,0,0,5959,0,0,0,0,4135000,0,7425,24618575,24626000,0.0256,0.0022,0.3825,0.0001,0.1093,0.5197,0,0,0,0.001,0.001,0,0,0,0,0,0,0.3108,0.3108,0,0,0,0,0,0.0001,0,0,0.0002,0,0,0,0,0.1679,0,0.0003,0.9997,1,0,13,4,10,Medium,1.1,7
1975,530,ETH,867513,131596,12419843,2980,1960744,15382676,0,0,0,28906,28906,0,0,0,0,0,0,8130600,8130600,0,0,0,0,0,2383,0,0,8479,0,0,0,0,3523260,2500,23196,27078804,27102000,0.032,0.0049,0.4583,0.0001,0.0723,0.5676,0,0,0,0.0011,0.0011,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.0001,0,0,0.0003,0,0,0,0,0.13,0.0001,0.0009,0.9991,1.0001,0,3,99,35,Low,1.1,99
1980,530,ETH,1104600,210000,15420000,3400,1229000,17967000,0,0,0,34000,34000,0,0,0,0,0,0,9319500,9319500,0,0,0,0,0,2734,0,0,11000,0,0,0,0,3605000,5000,120766,30944234,31065000,0.0356,0.0068,0.4964,0.0001,0.0396,0.5784,0,0,0,0.0011,0.0011,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.0001,0,0,0.0004,0,0,0,0,0.116,0.0002,0.0039,0.9961,1.0001,0,134,4,10,Medium,1.1,7
1985,530,ETH,3667300,245000,18472200,2100,1770200,24156800,0,0,0,22000,22000,0,0,0,0,0,0,14161600,14161600,0,0,0,0,0,3137,0,0,14000,0,0,0,0,4965000,35000,897463,43357537,44255000,0.0829,0.0055,0.4174,0,0.04,0.5459,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0.32,0.32,0,0,0,0,0,0.0001,0,0,0.0003,0,0,0,0,0.1122,0.0008,0.0203,0.9797,1.0001,0,134,2,10,Medium,1.1,13
1990,530,ETH,6230000,280000,20675600,800,2067560,29253960,0,0,0,10000,10000,0,0,0,0,0,0,16540480,16540480,0,0,0,0,0,3600,0,0,17000,0,0,0,0,5685790,65000,113170,51575830,51689000,0.1205,0.0054,0.4,0,0.04,0.566,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.32,0.32,0,0,0,0,0,0.0001,0,0,0.0003,0,0,0,0,0.11,0.0013,0.0022,0.9978,1.0001,0,24,4,8,Medium,1.1,7
1995,530,ETH,7852137,351469,22104030,734,2267080,32575450,0,0,0,10975,10975,0,0,0,0,0,0,19270180,19270180,0,0,0,0,0,4130,0,0,17071,0,0,0,0,4534160,76045,188989,56488011,56677000,0.1385,0.0062,0.39,0,0.04,0.5748,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.34,0.34,0,0,0,0,0,0.0001,0,0,0.0003,0,0,0,0,0.08,0.0013,0.0033,0.9967,1,0,34,5,24,Medium,1.1,1
2000,530,ETH,9723012,434043,26191668,687,1810399,38159809,0,0,0,11950,11950,20402113,206082,0,0,0,0,0,20608195,0,0,0,0,0,4661,0,0,17143,0,0,0,0,3650000,98200,15042,62549958,62565000,0.1554,0.0069,0.4186,0,0.0289,0.6099,0,0,0,0.0002,0.0002,0.3261,0.0033,0,0,0,0,0,0.3294,0,0,0,0,0,0.0001,0,0,0.0003,0,0,0,0,0.0583,0.0016,0.0002,0.9998,1,0,24,4,20,Medium,1.1,83
2005,530,ETH,10227880,450000,30517600,689,975600,42171769,0,0,0,8500,8500,26759000,475000,0,0,0,0,0,27234000,0,0,0,0,0,5471,0,0,18000,0,0,0,0,3500000,79500,26760,73017240,73044000,0.14,0.0062,0.4178,0,0.0134,0.5773,0,0,0,0.0001,0.0001,0.3663,0.0065,0,0,0,0,0,0.3728,0,0,0,0,0,0.0001,0,0,0.0002,0,0,0,0,0.0479,0.0011,0.0004,0.9996,0.9999,0,24,4,20,Medium,1.1,350
2010,530,ETH,14847378,578379,34877700,694,350000,50654152,0,0,0,4500,4500,27906872,425893,0,0,0,0,0,28332765,0,0,0,0,0,6130,0,0,22544,0,0,0,0,3100000,105200,53509,82225291,82278800,0.1805,0.007,0.4239,0,0.0043,0.6156,0,0,0,0.0001,0.0001,0.3392,0.0052,0,0,0,0,0,0.3444,0,0,0,0,0,0.0001,0,0,0.0003,0,0,0,0,0.0377,0.0013,0.0007,0.9993,1.0002,0,24,4,7,High,1.1,210
1995,531,ERI,31268,119685,1385240,0,3171,1539364,0,0,0,0,0,0,0,0,0,0,0,1542000,1542000,0,0,0,0,0,685,0,0,904,0,0,0,0,20545,60000,7502,3163498,3171000,0.0099,0.0377,0.4368,0,0.001,0.4855,0,0,0,0,0,0,0,0,0,0,0,0.4863,0.4863,0,0,0,0,0,0.0002,0,0,0.0003,0,0,0,0,0.0065,0.0189,0.0024,0.9976,1.0001,0,134,9,28,Low,1.1,2
2000,531,ERI,77000,192500,1540000,0,2703,1812203,0,0,0,0,0,1925000,0,0,0,0,0,0,1925000,0,0,0,0,0,770,0,0,1047,0,0,0,0,33500,65000,12480,3837520,3850000,0.02,0.05,0.4,0,0.0007,0.4707,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.0002,0,0,0.0003,0,0,0,0,0.0087,0.0169,0.0032,0.9968,1,0,24,9,28,Low,1.1,83
2005,531,ERI,89460,223650,1699740,0,0,2012850,0,0,0,0,0,2370690,0,0,0,0,0,0,2370690,0,0,0,0,0,895,0,0,1212,0,0,0,0,31200,55755,398,4472602,4473000,0.02,0.05,0.38,0,0,0.45,0,0,0,0,0,0.53,0,0,0,0,0,0,0.53,0,0,0,0,0,0.0002,0,0,0.0003,0,0,0,0,0.007,0.0125,0.0001,0.9999,1.0001,0,24,9,28,Low,1.1,83
2010,531,ERI,78516,209378,2721914,0,0,3009808,0,0,0,0,0,2100000,0,0,0,0,0,0,2100000,0,0,0,0,0,1047,0,0,1419,0,0,0,0,39500,66898,15778,5218672,5234450,0.015,0.04,0.52,0,0,0.575,0,0,0,0,0,0.4012,0,0,0,0,0,0,0.4012,0,0,0,0,0,0.0002,0,0,0.0003,0,0,0,0,0.0075,0.0128,0.003,0.997,1,0,24,9,28,Low,1.1,83
1975,540,ANG,489840,3325332,0,2550,1469520,5287242,0,0,0,0,0,0,0,0,0,0,0,24418,24418,0,0,655,655,0,0,0,0,450,0,0,0,0,780884,20000,9351,6113649,6123000,0.08,0.5431,0,0.0004,0.24,0.8635,0,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.1275,0.0033,0.0015,0.9985,1,0,3,99,35,Low,1.1,99
1980,540,ANG,634950,3860450,0,2600,1754750,6252750,0,0,0,0,0,0,0,0,0,0,0,46836,46836,0,0,728,728,0,0,0,0,600,0,0,0,0,683500,30000,4586,7014414,7019000,0.0905,0.55,0,0.0004,0.25,0.8908,0,0,0,0,0,0,0,0,0,0,0,0.0067,0.0067,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0974,0.0043,0.0007,0.9993,1.0001,0,134,4,10,Medium,1.1,7
1985,540,ANG,800300,4481680,0,2650,2000750,7285380,0,0,0,0,0,0,0,0,0,0,0,69254,69254,0,0,809,809,0,0,0,0,800,0,0,0,0,598260,45000,3497,7999503,8003000,0.1,0.56,0,0.0003,0.25,0.9103,0,0,0,0,0,0,0,0,0,0,0,0.0087,0.0087,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0748,0.0056,0.0004,0.9996,1,0,34,9,28,Low,1.1,2
1990,540,ANG,1300000,5600000,0,2700,2404800,9307500,0,0,0,0,0,0,0,0,0,0,0,91671,91671,0,0,900,900,0,0,0,0,1000,0,0,0,80,513020,60000,45829,9974171,10020000,0.1297,0.5589,0,0.0003,0.24,0.9289,0,0,0,0,0,0,0,0,0,0,0,0.0091,0.0091,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0512,0.006,0.0046,0.9954,1,0,134,4,10,Medium,1.1,7
1995,540,ANG,1963200,6381440,0,16350,1514240,9875230,0,0,0,0,0,0,0,0,0,0,0,114089,114089,0,0,1000,1000,0,0,0,0,1195,0,0,0,0,578299,86599,159588,10656412,10816000,0.1815,0.59,0,0.0015,0.14,0.913,0,0,0,0,0,0,0,0,0,0,0,0.0105,0.0105,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0535,0.008,0.0148,0.9852,1,0,34,5,24,Medium,1.1,1
2000,540,ANG,1926727,8005243,0,25000,882565,10839535,0,0,0,0,0,0,0,0,0,0,0,130000,130000,0,0,1101,1101,0,0,0,0,1391,0,0,0,109,975000,250000,680864,12197136,12878000,0.1496,0.6216,0,0.0019,0.0685,0.8417,0,0,0,0,0,0,0,0,0,0,0,0.0101,0.0101,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0757,0.0194,0.0529,0.9471,1,0,24,5,20,Medium,1.1,13
2005,540,ANG,4320280,9804000,0,30000,875000,15029280,0,0,0,0,0,0,0,0,0,0,0,175000,175000,0,0,1200,1200,0,0,0,0,1811,0,0,0,142,1100000,267000,43567,16574433,16618000,0.26,0.59,0,0.0018,0.0527,0.9044,0,0,0,0,0,0,0,0,0,0,0,0.0105,0.0105,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0662,0.0161,0.0026,0.9974,1,0,24,5,20,Medium,1.1,83
2010,540,ANG,4396260,11850789,0,37800,750000,17034849,0,0,0,0,0,0,0,0,0,0,0,198750,198750,0,0,1634,1634,0,0,0,0,2064,0,0,0,162,1450000,342000,84717,19029459,19114176,0.23,0.62,0,0.002,0.0392,0.8912,0,0,0,0,0,0,0,0,0,0,0,0.0104,0.0104,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0759,0.0179,0.0044,0.9956,1,0,24,5,20,Medium,1.1,83
1975,541,MZM,367767,2850557,2200,36397,548944,3805865,0,0,0,190,190,0,0,0,0,0,0,1240000,1240000,0,0,148,148,0,5050,0,0,1000,0,0,0,0,4020070,7500,39177,9079823,9119000,0.0403,0.3126,0.0002,0.004,0.0602,0.4174,0,0,0,0,0,0,0,0,0,0,0,0.136,0.136,0,0,0,0,0,0.0006,0,0,0.0001,0,0,0,0,0.4408,0.0008,0.0043,0.9957,1,0,3,99,35,Low,1.1,99
1980,541,MZM,570600,2830700,2000,62200,1234500,4700000,0,0,0,180,180,0,0,0,0,0,0,1815450,1815450,0,0,295,295,0,5000,0,0,1400,0,0,0,141,5567380,12000,1154,12101846,12103000,0.0471,0.2339,0.0002,0.0051,0.102,0.3883,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0.0004,0,0,0.0001,0,0,0,0,0.46,0.001,0.0001,0.9999,0.9999,0,134,4,10,Medium,1.1,7
1985,541,MZM,805300,2513000,1250,68600,1573850,4962000,0,0,0,170,170,0,0,0,0,0,0,2080200,2080200,0,0,443,443,0,13500,0,0,1800,0,0,0,270,6727000,33500,49117,13818883,13868000,0.0581,0.1812,0.0001,0.0049,0.1135,0.3578,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0.001,0,0,0.0001,0,0,0,0,0.4851,0.0024,0.0035,0.9965,0.9999,0,134,2,10,Medium,1.1,13
1990,541,MZM,1200000,2290000,500,75000,1818500,5384000,0,0,0,160,160,0,0,0,0,0,0,2264160,2264160,0,0,591,591,0,22000,0,0,2200,0,0,0,516,6367950,55000,54423,14096577,14151000,0.0848,0.1618,0,0.0053,0.1285,0.3805,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0,0,0,0,0.0016,0,0,0.0002,0,0,0,0,0.45,0.0039,0.0038,0.9962,1,0,134,4,10,Medium,1.1,7
1995,541,MZM,1857447,3164300,790,96933,2313450,7432920,0,0,0,178,178,0,0,0,0,0,0,2787680,2787680,0,0,738,738,0,26842,0,0,2310,0,0,0,987,6794970,69792,306583,17116417,17423000,0.1066,0.1816,0,0.0056,0.1328,0.4266,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0,0,0,0,0.0015,0,0,0.0001,0,0,0,0.0001,0.39,0.004,0.0176,0.9824,0.9999,0,134,5,20,Medium,1.1,1
2000,541,MZM,1950000,3527000,1080,118867,1975000,7571947,0,0,0,197,197,4286304,43296,0,0,0,0,0,4329600,0,0,886,886,0,31685,0,0,2421,0,0,0,1889,7365956,102500,272919,19407081,19680000,0.0991,0.1792,0.0001,0.006,0.1004,0.3848,0,0,0,0,0,0.2178,0.0022,0,0,0,0,0,0.22,0,0,0,0,0,0.0016,0,0,0.0001,0,0,0,0.0001,0.3743,0.0052,0.0139,0.9861,1,0,24,7,28,Low,1.1,13
2005,541,MZM,2250000,4187350,0,262116,2047200,8746666,0,0,0,194,194,4171760,52240,0,0,0,0,0,4224000,0,0,1695,1695,0,31266,0,0,2389,0,0,0,3612,6032500,136890,240788,19179212,19420000,0.1159,0.2156,0,0.0135,0.1054,0.4504,0,0,0,0,0,0.2148,0.0027,0,0,0,0,0,0.2175,0,0,0.0001,0.0001,0,0.0016,0,0,0.0001,0,0,0,0.0002,0.3106,0.007,0.0124,0.9876,0.9999,0,24,7,28,Low,1.1,200
2010,541,MZM,4897500,5315750,747,126027,0,10340024,0,0,0,218,218,5233075,87367,0,0,0,0,0,5320442,0,0,1900,1900,0,35165,0,0,2686,0,0,0,4063,5850000,192300,95052,21746798,21841850,0.2242,0.2434,0,0.0058,0,0.4734,0,0,0,0,0,0.2396,0.004,0,0,0,0,0,0.2436,0,0,0.0001,0.0001,0,0.0016,0,0,0.0001,0,0,0,0.0002,0.2678,0.0088,0.0044,0.9956,1,0,24,7,20,Medium,1.1,350
1965,551,ZAM,124069,628000,5310,73862,1527032,2358273,0,0,0,827,827,0,0,0,0,0,0,11685,11685,0,0,0,0,0,6949,0,0,8388,0,0,0,1059,1300000,7812,7,3694993,3695000,0.0336,0.17,0.0014,0.02,0.4133,0.6382,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0032,0.0032,0,0,0,0,0,0.0019,0,0,0.0023,0,0,0,0.0003,0.3518,0.0021,0,1,1,0,134,8,28,Low,1.1,20
1970,551,ZAM,303441,942964,5340,86879,1498730,2837354,0,0,0,818,818,0,0,0,0,0,0,13307,13307,0,0,0,0,0,7883,0,0,10553,0,0,0,1352,1355873,10256,604,4237396,4238000,0.0716,0.2225,0.0013,0.0205,0.3536,0.6695,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0031,0.0031,0,0,0,0,0,0.0019,0,0,0.0025,0,0,0,0.0003,0.3199,0.0024,0.0001,0.9999,0.9999,0,24,4,8,Medium,1.1,7
1975,551,ZAM,742135,1247917,5370,92189,1380545,3468156,0,0,0,809,809,0,0,0,0,0,0,14153,14153,0,0,1800,1800,0,8941,0,0,13276,0,0,0,1727,1370040,13128,970,4892030,4893000,0.1517,0.255,0.0011,0.0188,0.2821,0.7088,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0029,0.0029,0,0,0.0004,0.0004,0,0.0018,0,0,0.0027,0,0,0,0.0004,0.28,0.0027,0.0002,0.9998,1.0001,0,3,99,35,Low,1.1,99
1980,551,ZAM,1180830,1556870,5400,117500,1262360,4122960,0,0,0,800,800,0,0,0,0,0,0,17000,17000,0,0,1800,1800,0,10000,0,0,16000,0,0,0,2205,1549260,16000,1975,5736025,5738000,0.2058,0.2713,0.0009,0.0205,0.22,0.7185,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.003,0.003,0,0,0.0003,0.0003,0,0.0017,0,0,0.0028,0,0,0,0.0004,0.27,0.0028,0.0003,0.9997,0.9999,0,134,4,10,Medium,1.1,7
1985,551,ZAM,1460415,1953435,5700,133750,1346700,4900000,0,0,0,900,900,0,0,0,0,0,0,48500,48500,0,0,1800,1800,0,10000,0,0,68000,0,0,0,2817,1600000,17500,75483,6649517,6725000,0.2172,0.2905,0.0008,0.0199,0.2003,0.7286,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0072,0.0072,0,0,0.0003,0.0003,0,0.0015,0,0,0.0101,0,0,0,0.0004,0.2379,0.0026,0.0112,0.9888,0.9999,0,13,2,10,Medium,1.1,13
