year,name,sumrelig,pop,religions,relpop
1970,ROM,20251649,20253000,zorogen,0
1975,ROM,21206585,21245000,zorogen,0
1980,ROM,22001060,22201000,zorogen,0
1985,ROM,22714040,22725000,zorogen,0
1990,ROM,23202849,23207000,zorogen,0
1995,ROM,22668236,22681000,zorogen,0
2000,ROM,22289634,22327000,zorogen,0
2005,ROM,21752357,21800000,zorogen,0
2010,ROM,21344022,21433182,zorogen,0
1945,RUS,177021948,177300000,zorogen,0
1950,RUS,179975712,180075000,zorogen,0
1955,RUS,195981743,196159000,zorogen,0
1960,RUS,212389457,214329000,zorogen,0
1965,RUS,225261140,230936000,zorogen,0
1970,RUS,238132822,242767000,zorogen,0
1975,RUS,246937723,254469000,zorogen,0
1980,RUS,255742626,265484000,zorogen,0
1985,RUS,266071772,277334000,zorogen,0
1990,RUS,272646018,281344000,zorogen,0
1995,RUS,142668692,147774000,zorogen,0
2000,RUS,146774856,146934000,zorogen,0
2005,RUS,142821760,143114000,zorogen,0
2010,RUS,142373556,142400000,zorogen,0
1995,EST,1449226,1484000,zorogen,0
2000,EST,1168336,1396000,zorogen,0
2005,EST,1242083,1346000,zorogen,0
2010,EST,1315832,1339974,zorogen,0
1995,LAT,2509008,2516000,zorogen,0
2000,LAT,2342495,2357000,zorogen,0
2005,LAT,2281067,2301000,zorogen,0
2010,LAT,2229106,2242818,zorogen,0
1995,LIT,3708140,3715000,zorogen,0
2000,LIT,3601163,3670000,zorogen,0
2005,LIT,3394996,3414000,zorogen,0
2010,LIT,3268834,3321032,zorogen,0
1995,UKR,51275224,51277000,zorogen,0
2000,UKR,50431672,50456000,zorogen,0
2005,UKR,47739912,47821000,zorogen,0
2010,UKR,45965669,46005476,zorogen,0
1995,BLR,10155824,10281000,zorogen,0
2000,BLR,10233580,10236000,zorogen,0
2005,BLR,9757200,9775000,zorogen,0
2010,BLR,9325852,9490500,zorogen,0
1995,ARM,3758263,3759000,zorogen,0
2000,ARM,3516513,3520000,zorogen,0
2005,ARM,3206261,3218000,zorogen,0
2010,ARM,3242714,3245781,zorogen,0
1995,GRG,5415935,5417000,zorogen,0
2000,GRG,4954540,4968000,zorogen,0
2005,GRG,4484065,4500000,zorogen,0
2010,GRG,4418058,4452394,zorogen,0
1995,AZE,7484846,7487000,zorogen,0
2000,AZE,7664559,7734000,zorogen,0
2005,AZE,8369820,8392000,zorogen,0
2010,AZE,8996434,9047615,zorogen,0
1945,FIN,3819688,3820000,zorogen,0
1950,FIN,4004481,4009000,zorogen,0
1955,FIN,4190393,4235000,zorogen,0
1960,FIN,4372252,4430000,zorogen,0
1965,FIN,4554106,4564000,zorogen,0
1970,FIN,4576025,4606000,zorogen,0
1975,FIN,4657529,4711000,zorogen,0
1980,FIN,4745650,4780000,zorogen,0
1985,FIN,4859911,4902000,zorogen,0
1990,FIN,4960284,4986000,zorogen,0
1995,FIN,5082000,5108000,zorogen,0
2000,FIN,5160588,5176000,zorogen,0
2005,FIN,5228925,5246000,zorogen,0
2010,FIN,5185766,5363908,zorogen,0
1945,SWD,6617538,6640000,zorogen,0
1950,SWD,7023444,7047000,zorogen,0
1955,SWD,7228291,7262000,zorogen,0
1960,SWD,7449927,7480000,zorogen,0
1965,SWD,7730814,7734000,zorogen,0
1970,SWD,8031779,8043000,zorogen,0
1975,SWD,8184699,8193000,zorogen,0
1980,SWD,8304029,8310000,zorogen,0
1985,SWD,8349821,8350000,zorogen,0
1990,SWD,8528746,8559000,zorogen,0
1995,SWD,8808924,8831000,zorogen,0
2000,SWD,8905374,8910000,zorogen,0
2005,SWD,9017650,9030000,zorogen,500
2010,SWD,9216979,9379022,zorogen,0
1945,NOR,3074996,3075000,zorogen,0
1950,NOR,3264958,3265000,zorogen,0
1955,NOR,3404638,3427000,zorogen,0
1960,NOR,3537755,3581000,zorogen,0
1965,NOR,3672975,3723000,zorogen,0
1970,NOR,3828982,3877000,zorogen,0
1975,NOR,3956941,4007000,zorogen,0
1980,NOR,4044142,4086000,zorogen,0
1985,NOR,4119437,4153000,zorogen,0
1990,NOR,4205011,4241000,zorogen,0
1995,NOR,4282675,4359000,zorogen,0
2000,NOR,4390600,4465000,zorogen,0
2005,NOR,4608337,4623000,zorogen,0
2010,NOR,4764758,4885082,zorogen,0
1945,DEN,4007701,4040000,zorogen,0
1950,DEN,4268995,4270000,zorogen,0
1955,DEN,4438745,4439000,zorogen,0
1960,DEN,4580495,4581000,zorogen,0
1965,DEN,4757849,4758000,zorogen,0
1970,DEN,4928699,4929000,zorogen,0
1975,DEN,4999537,5060000,zorogen,0
1980,DEN,5008178,5123000,zorogen,0
1985,DEN,5055256,5114000,zorogen,0
1990,DEN,5105732,5140000,zorogen,0
1995,DEN,5195630,5228000,zorogen,0
2000,DEN,5170941,5293000,zorogen,0
2005,DEN,5227868,5416000,zorogen,0
2010,DEN,5317051,5539634,zorogen,0
1945,ICE,128897,129000,zorogen,0
1950,ICE,142936,143000,zorogen,0
1955,ICE,157839,158000,zorogen,0
1960,ICE,175980,176000,zorogen,0
1965,ICE,190323,192000,zorogen,0
1970,ICE,203337,204000,zorogen,0
1975,ICE,217935,218000,zorogen,0
1980,ICE,227847,228000,zorogen,0
1985,ICE,237879,241000,zorogen,0
1990,ICE,250578,255000,zorogen,0
1995,ICE,262393,267000,zorogen,0
2000,ICE,275807,281000,zorogen,0
2005,ICE,287009,296000,zorogen,0
2010,ICE,304842,316821,zorogen,0
1975,CAP,296625,297000,zorogen,0
1980,CAP,294576,296000,zorogen,0
1985,CAP,331459,333000,zorogen,0
1990,CAP,340960,341000,zorogen,0
1995,CAP,385927,386000,zorogen,0
2000,CAP,427051,428000,zorogen,0
2005,CAP,458186,460000,zorogen,0
2010,CAP,474531,475000,zorogen,0
1975,STP,79000,83000,zorogen,0
1980,STP,93765,94000,zorogen,0
1985,STP,101780,102000,zorogen,0
1990,STP,114500,115000,zorogen,0
1995,STP,121715,122000,zorogen,0
2000,STP,138990,147000,zorogen,0
2005,STP,148112,149000,zorogen,0
2010,STP,162539,162915,zorogen,0
1975,GNB,626852,627000,zorogen,0
1980,GNB,777620,781000,zorogen,0
1985,GNB,868955,869000,zorogen,0
1990,GNB,958180,964000,zorogen,0
1995,GNB,1066048,1069000,zorogen,0
2000,GNB,1212420,1213000,zorogen,0
2005,GNB,1318676,1326000,zorogen,0
2010,GNB,1476885,1477784,zorogen,0
1970,EQG,290973,291000,zorogen,0
1975,EQG,222870,225000,zorogen,0
1980,EQG,216320,217000,zorogen,0
1985,EQG,308515,312000,zorogen,0
1990,EQG,347110,348000,zorogen,0
1995,EQG,373784,379000,zorogen,0
2000,EQG,452931,453000,zorogen,0
2005,EQG,603329,609000,zorogen,0
2010,EQG,690349,698295,zorogen,0
1965,GAM,403875,404000,zorogen,0
1970,GAM,461991,462000,zorogen,0
1975,GAM,522903,524000,zorogen,0
1980,GAM,599473,601000,zorogen,0
1985,GAM,747317,775000,zorogen,0
1990,GAM,920760,921000,zorogen,0
1995,GAM,1106282,1111000,zorogen,0
2000,GAM,1297686,1305000,zorogen,0
2005,GAM,1433680,1436000,zorogen,0
2010,GAM,1716661,1720403,zorogen,0
1960,MLI,4287777,4375000,zorogen,0
1965,MLI,4653858,4654000,zorogen,0
1970,MLI,5482324,5484000,zorogen,0
1975,MLI,5597002,5614000,zorogen,0
1980,MLI,7094170,7095000,zorogen,0
1985,MLI,7488664,7566000,zorogen,0
1990,MLI,8155145,8156000,zorogen,0
1995,MLI,10763529,10795000,zorogen,0
2000,MLI,11232532,11234000,zorogen,0
2005,MLI,11694780,11732000,zorogen,0
2010,MLI,13567770,13568961,zorogen,0
1960,SEN,3492961,3578000,zorogen,0
1965,SEN,3901815,3919000,zorogen,0
1970,SEN,4296524,4396000,zorogen,0
1975,SEN,4960996,4974000,zorogen,0
1980,SEN,5669905,5693000,zorogen,0
1985,SEN,6894214,6908000,zorogen,0
1990,SEN,7293303,7298000,zorogen,0
1995,SEN,8268829,8347000,zorogen,0
2000,SEN,9437652,9481000,zorogen,0
2005,SEN,10843559,10848000,zorogen,0
2010,SEN,12054458,12084098,zorogen,0
1960,BEN,2234708,2237000,zorogen,0
1965,BEN,2156942,2162000,zorogen,0
1970,BEN,2716898,2718000,zorogen,0
1975,BEN,3103155,3112000,zorogen,0
1980,BEN,3385820,3462000,zorogen,0
1985,BEN,4058900,4059000,zorogen,0
1990,BEN,4714420,4739000,zorogen,0
1995,BEN,5355010,5412000,zorogen,0
2000,BEN,6023704,6097000,zorogen,0
2005,BEN,7383059,7395000,zorogen,0
2010,BEN,8630919,8785996,zorogen,0
1960,MAA,987039,991000,zorogen,0
1965,MAA,1091391,1096000,zorogen,0
1970,MAA,1220999,1221000,zorogen,0
1975,MAA,1365253,1371000,zorogen,0
1980,MAA,1543990,1551000,zorogen,0
1985,MAA,1758230,1766000,zorogen,0
1990,MAA,1995250,2003000,zorogen,0
1995,MAA,2283913,2284000,zorogen,0
2000,MAA,2625515,2670000,zorogen,0
2005,MAA,2815416,2906000,zorogen,0
2010,MAA,3241995,3311512,zorogen,0
1960,NIR,3020384,3028000,zorogen,0
1965,NIR,3510868,3513000,zorogen,0
1970,NIR,4022618,4024000,zorogen,0
1975,NIR,4589818,4600000,zorogen,0
1980,NIR,5561686,5586000,zorogen,0
1985,NIR,6589079,6608000,zorogen,0
1990,NIR,7724109,7731000,zorogen,0
1995,NIR,9110497,9151000,zorogen,0
2000,NIR,10713755,10730000,zorogen,0
2005,NIR,12614534,12628000,zorogen,0
2010,NIR,14927242,14988429,zorogen,0
1960,CDI,3762100,3799000,zorogen,0
1965,CDI,4470666,4527000,zorogen,0
1970,CDI,5514253,5515000,zorogen,0
1975,CDI,6753713,6755000,zorogen,0
1980,CDI,8189888,8194000,zorogen,0
1985,CDI,9897539,9933000,zorogen,0
1990,CDI,11646361,11717000,zorogen,0
1995,CDI,13993360,14230000,zorogen,0
2000,CDI,14701583,14786000,zorogen,0
2005,CDI,18702022,18750000,zorogen,0
2010,CDI,21366842,21411568,zorogen,0
1960,GUI,3262678,3272000,zorogen,0
1965,GUI,3385633,3510000,zorogen,0
1970,GUI,3884642,3900000,zorogen,0
1975,GUI,4146612,4149000,zorogen,0
1980,GUI,4452239,4461000,zorogen,0
1985,GUI,4651704,4661000,zorogen,0
1990,GUI,5749758,5755000,zorogen,0
1995,GUI,7344056,7349000,zorogen,0
2000,GUI,7402138,7430000,zorogen,0
2005,GUI,9203880,9221000,zorogen,0
2010,GUI,10225332,10238627,zorogen,0
1960,BFO,4117363,4123000,zorogen,0
1965,BFO,4549378,4566000,zorogen,0
1970,BFO,5055959,5056000,zorogen,0
1975,BFO,5566066,5599000,zorogen,0
1980,BFO,6908370,6909000,zorogen,0
1985,BFO,7857202,7886000,zorogen,0
1990,BFO,8918650,9001000,zorogen,0
1995,BFO,10113383,10200000,zorogen,0
2000,BFO,11928901,11937000,zorogen,0
2005,BFO,12800280,12802000,zorogen,0
2010,BFO,15578850,15583968,zorogen,0
1945,LBR,586560,606000,zorogen,0
1950,LBR,823995,824000,zorogen,0
1955,LBR,910142,914000,zorogen,0
1960,LBR,663900,666000,zorogen,0
1965,LBR,937926,965000,zorogen,0
1970,LBR,1243977,1264000,zorogen,0
1975,LBR,1547054,1563000,zorogen,0
1980,LBR,1858866,1862000,zorogen,0
1985,LBR,2152490,2161000,zorogen,0
1990,LBR,2400792,2407000,zorogen,0
1995,LBR,2718909,2760000,zorogen,0
2000,LBR,3148701,3154000,zorogen,0
2005,LBR,3327190,3334000,zorogen,0
2010,LBR,4166998,4167344,zorogen,0
1965,SIE,2426345,2429000,zorogen,0
1970,SIE,2655942,2656000,zorogen,0
1975,SIE,2917114,2931000,zorogen,0
1980,SIE,3230290,3236000,zorogen,0
1985,SIE,3573450,3585000,zorogen,0
1990,SIE,3985150,3997000,zorogen,0
1995,SIE,4186132,4195000,zorogen,0
2000,SIE,4843128,4854000,zorogen,0
2005,SIE,5474440,5506000,zorogen,0
2010,SIE,6105979,6139274,zorogen,0
1960,GHA,6776196,6777000,zorogen,0
1965,GHA,7826518,7831000,zorogen,0
1970,GHA,8631599,8633000,zorogen,0
1975,GHA,9817771,9826000,zorogen,0
1980,GHA,10755751,10808000,zorogen,0
1985,GHA,12715628,12717000,zorogen,0
1990,GHA,15016640,15018000,zorogen,0
1995,GHA,16910823,17338000,zorogen,0
2000,GHA,19280792,20212000,zorogen,0
2005,GHA,20389648,21343000,zorogen,0
2010,GHA,23814530,23997252,zorogen,0
1960,TOG,1443396,1444000,zorogen,0
1965,TOG,1626801,1627000,zorogen,0
1970,TOG,1961355,1962000,zorogen,0
1975,TOG,2227829,2231000,zorogen,0
1980,TOG,2609500,2615000,zorogen,0
1985,TOG,3005360,3028000,zorogen,0
1990,TOG,3508900,3524000,zorogen,0
1995,TOG,4045492,4085000,zorogen,0
2000,TOG,4602970,4629000,zorogen,0
2005,TOG,5309419,5337000,zorogen,0
2010,TOG,5808616,5827529,zorogen,0
1960,CAO,5274983,5296000,zorogen,0
1965,CAO,5848339,5881000,zorogen,0
1970,CAO,6501292,6612000,zorogen,0
1975,CAO,7421363,7526000,zorogen,0
1980,CAO,8501143,8503000,zorogen,0
1985,CAO,9823236,10166000,zorogen,0
1990,CAO,11459074,11484000,zorogen,0
1995,CAO,13254339,13277000,zorogen,0
2000,CAO,15005557,15085000,zorogen,0
2005,CAO,17780586,17823000,zorogen,0
2010,CAO,19895148,19929964,zorogen,0
1960,NIG,41954251,42305000,zorogen,0
1965,NIG,47907604,48676000,zorogen,0
1970,NIG,55058933,55070000,zorogen,0
1975,NIG,62742057,62770000,zorogen,0
1980,NIG,70264947,72024000,zorogen,0
1985,NIG,95609490,95690000,zorogen,0
1990,NIG,95671340,96154000,zorogen,0
1995,NIG,111514860,111722000,zorogen,0
2000,NIG,119938452,120000000,zorogen,0
2005,NIG,133456081,133767000,zorogen,0
2010,NIG,153840035,154110416,zorogen,0
1960,GAB,479219,486000,zorogen,0
1965,GAB,436643,462000,zorogen,0
1970,GAB,411908,504000,zorogen,0
1975,GAB,513124,593000,zorogen,0
1980,GAB,557800,691000,zorogen,0
1985,GAB,726420,803000,zorogen,0
1990,GAB,885000,935000,zorogen,0
1995,GAB,1074282,1076000,zorogen,0
2000,GAB,1223493,1226000,zorogen,0
2005,GAB,1263212,1313000,zorogen,0
2010,GAB,1398709,1402214,zorogen,0
1960,CEN,1274041,1297000,zorogen,0
1965,CEN,1401723,1432000,zorogen,0
1970,CEN,1691000,1870000,zorogen,0
1975,CEN,1919949,2046000,zorogen,0
1980,CEN,2102911,2309000,zorogen,0
1985,CEN,2536981,2608000,zorogen,0
1990,CEN,2842000,2929000,zorogen,0
1995,CEN,3271779,3273000,zorogen,0
2000,CEN,3544707,3615000,zorogen,0
2005,CEN,4087680,4101000,zorogen,0
2010,CEN,4487604,4502654,zorogen,0
1960,CHA,3057578,3064000,zorogen,0
1965,CHA,3229640,3310000,zorogen,0
1970,CHA,3619908,3640000,zorogen,0
1975,CHA,3977838,4030000,zorogen,0
1980,CHA,4473306,4477000,zorogen,0
1985,CHA,5004559,5020000,zorogen,0
1990,CHA,5678952,5687000,zorogen,0
1995,CHA,6329898,6335000,zorogen,0
2000,CHA,7578127,7651000,zorogen,0
2005,CHA,9993439,10019000,zorogen,0
2010,CHA,11464829,11499083,zorogen,0
1960,CON,984496,988000,zorogen,0
1965,CON,1101583,1111000,zorogen,0
1970,CON,1261847,1263000,zorogen,0
1975,CON,1431674,1447000,zorogen,0
1980,CON,1664945,1669000,zorogen,0
1985,CON,1878623,1924000,zorogen,0
1990,CON,2164378,2232000,zorogen,0
1995,CON,2501521,2593000,zorogen,0
2000,CON,2752982,2943000,zorogen,0
2005,CON,3368942,3406000,zorogen,0
2010,CON,3837146,4004306,zorogen,0
1960,DRC,13864210,14106000,zorogen,0
1965,DRC,17306252,17378000,zorogen,0
1970,DRC,21628686,21638000,zorogen,0
1975,DRC,22276665,22582000,zorogen,0
1980,DRC,26202870,26377000,zorogen,0
1985,DRC,30892505,30981000,zorogen,0
1990,DRC,35259060,35562000,zorogen,0
1995,DRC,45271066,45453000,zorogen,0
2000,DRC,51195202,51654000,zorogen,0
2005,DRC,58992936,59077000,zorogen,0
2010,DRC,67853694,67865160,zorogen,0
1965,UGA,8046637,8047000,zorogen,0
1970,UGA,9783836,9806000,zorogen,104
1975,UGA,11492414,11549000,zorogen,0
1980,UGA,12854898,13120000,zorogen,0
1985,UGA,14654399,14762000,zorogen,0
1990,UGA,16577401,16649000,zorogen,0
1995,UGA,18848477,19263000,zorogen,0
2000,UGA,21753620,21778000,zorogen,0
2005,UGA,26367438,26495000,zorogen,0
2010,UGA,31083886,31118996,zorogen,0
1965,KEN,9659203,9749000,zorogen,227
1970,KEN,11147161,11247000,zorogen,270
1975,KEN,13361280,13413000,zorogen,320
1980,KEN,16549581,16667000,zorogen,370
1985,KEN,20155497,20333000,zorogen,485
1990,KEN,23992642,24032000,zorogen,600
1995,KEN,30262180,30522000,zorogen,664
2000,KEN,30002377,30080000,zorogen,728
2005,KEN,35236853,35267000,zorogen,709
2010,KEN,40144055,40187108,zorogen,804
1965,TAZ,11647823,11673000,zorogen,97
1970,TAZ,13080652,13273000,zorogen,98
1975,TAZ,15023445,15312000,zorogen,99
1980,TAZ,18510440,18580000,zorogen,100
1985,TAZ,21346773,21733000,zorogen,100
1990,TAZ,25531541,25635000,zorogen,100
1995,TAZ,30266915,30337000,zorogen,100
2000,TAZ,33438204,33517000,zorogen,101
2005,TAZ,37211703,37379000,zorogen,113
2010,TAZ,42862247,43070004,zorogen,130
1965,BUI,3206312,3210000,zorogen,0
1970,BUI,3543885,3544000,zorogen,0
1975,BUI,3636950,3745000,zorogen,0
1980,BUI,3989723,4118000,zorogen,0
1985,BUI,4592421,4718000,zorogen,0
1990,BUI,5449293,5458000,zorogen,0
1995,BUI,5969675,5982000,zorogen,0
2000,BUI,6554662,6695000,zorogen,0
2005,BUI,7555148,7557000,zorogen,0
2010,BUI,8587438,8595166,zorogen,0
1965,RWA,3124283,3130000,zorogen,0
1970,RWA,3689922,3690000,zorogen,0
1975,RWA,3992862,4193000,zorogen,0
1980,RWA,5161400,5162000,zorogen,0
1985,RWA,6029650,6052000,zorogen,0
1990,RWA,6929596,7181000,zorogen,0
1995,RWA,5060964,5184000,zorogen,0
2000,RWA,7463817,7733000,zorogen,0
2005,RWA,8923123,8992000,zorogen,0
2010,RWA,10206774,10344436,zorogen,0
1960,SOM,3784148,3785000,zorogen,0
1965,SOM,4225439,4239000,zorogen,0
1970,SOM,4790897,4791000,zorogen,0
1975,SOM,5415290,5471000,zorogen,0
1980,SOM,6710686,6713000,zorogen,0
1985,SOM,7823321,7875000,zorogen,0
1990,SOM,8593957,8623000,zorogen,0
1995,SOM,9425041,9491000,zorogen,0
2000,SOM,10073642,10097000,zorogen,0
2005,SOM,8325135,8354000,zorogen,0
2010,SOM,9306835,9330345,zorogen,0
1980,DJI,354382,355000,zorogen,0
1985,DJI,427852,430000,zorogen,0
1990,DJI,515040,517000,zorogen,0
1995,DJI,598859,601000,zorogen,0
2000,DJI,637202,638000,zorogen,0
2005,DJI,803714,805000,zorogen,0
2010,DJI,882741,882943,zorogen,0
1945,ETH,17201734,17202000,zorogen,0
1950,ETH,19572410,19573000,zorogen,0
1955,ETH,19067577,19100000,zorogen,0
1960,ETH,20609465,20700000,zorogen,0
1965,ETH,22621589,22699000,zorogen,0
1970,ETH,24618575,24626000,zorogen,0
1975,ETH,27078804,27102000,zorogen,0
1980,ETH,30944234,31065000,zorogen,0
1985,ETH,43357537,44255000,zorogen,0
1990,ETH,51575830,51689000,zorogen,0
1995,ETH,56488011,56677000,zorogen,0
2000,ETH,62549958,62565000,zorogen,0
2005,ETH,73017240,73044000,zorogen,0
2010,ETH,82225291,82278800,zorogen,0
1995,ERI,3163498,3171000,zorogen,0
2000,ERI,3837520,3850000,zorogen,0
2005,ERI,4472602,4473000,zorogen,0
2010,ERI,5218672,5234450,zorogen,0
1975,ANG,6113649,6123000,zorogen,0
1980,ANG,7014414,7019000,zorogen,0
1985,ANG,7999503,8003000,zorogen,0
1990,ANG,9974171,10020000,zorogen,0
1995,ANG,10656412,10816000,zorogen,0
2000,ANG,12197136,12878000,zorogen,0
2005,ANG,16574433,16618000,zorogen,0
2010,ANG,19029459,19114176,zorogen,0
1975,MZM,9079823,9119000,zorogen,0
1980,MZM,12101846,12103000,zorogen,0
1985,MZM,13818883,13868000,zorogen,0
1990,MZM,14096577,14151000,zorogen,0
1995,MZM,17116417,17423000,zorogen,0
2000,MZM,19407081,19680000,zorogen,0
2005,MZM,19179212,19420000,zorogen,0
2010,MZM,21746798,21841850,zorogen,0
1965,ZAM,3694993,3695000,zorogen,0
1970,ZAM,4237396,4238000,zorogen,0
1975,ZAM,4892030,4893000,zorogen,0
1980,ZAM,5736025,5738000,zorogen,0
1985,ZAM,6649517,6725000,zorogen,0
1990,ZAM,7689207,8073000,zorogen,0
1995,ZAM,7731369,8081000,zorogen,0
2000,ZAM,9161836,9169000,zorogen,0
2005,ZAM,11433872,11441000,zorogen,0
2010,ZAM,13022522,13039656,zorogen,0
1965,ZIM,4432187,4475000,zorogen,0
1970,ZIM,5295183,5310000,zorogen,0
1975,ZIM,6222577,6280000,zorogen,0
1980,ZIM,7082894,7096000,zorogen,0
1985,ZIM,8293249,8379000,zorogen,0
1990,ZIM,9136630,9369000,zorogen,0
1995,ZIM,11175708,11526000,zorogen,0
2000,ZIM,10984865,11669000,zorogen,0
2005,ZIM,11935097,12372000,zorogen,0
2010,ZIM,12105955,12165294,zorogen,0
1965,MAW,3904448,3908000,zorogen,0
1970,MAW,4605626,4606000,zorogen,0
1975,MAW,5207799,5236000,zorogen,0
1980,MAW,6031703,6046000,zorogen,0
1985,MAW,6991195,7059000,zorogen,0
1990,MAW,8199458,8289000,zorogen,0
1995,MAW,9487989,9788000,zorogen,0
2000,MAW,10133303,10925000,zorogen,0
2005,MAW,12250169,12341000,zorogen,0
2010,MAW,14454268,14460699,zorogen,0
1945,SAF,11242873,11265000,zorogen,0
1950,SAF,13308545,13310000,zorogen,0
1955,SAF,14843484,14911000,zorogen,0
1960,SAF,17067861,17122000,zorogen,0
1965,SAF,19593526,19607000,zorogen,0
1970,SAF,22444724,22458000,zorogen,0
1975,SAF,25668754,25669000,zorogen,0
1980,SAF,29155353,29170000,zorogen,0
1985,SAF,32994475,33043000,zorogen,0
1990,SAF,37011296,37066000,zorogen,0
1995,SAF,41137550,41244000,zorogen,0
2000,SAF,39915088,40377000,zorogen,0
2005,SAF,46973479,47335000,zorogen,0
2010,SAF,49591874,50022088,zorogen,0
1990,NAM,1350000,1352000,zorogen,0
1995,NAM,1528986,1536000,zorogen,0
2000,NAM,1709372,1726000,zorogen,0
2005,NAM,1947728,1957000,zorogen,0
2010,NAM,2141053,2144764,zorogen,0
1970,LES,1063925,1064000,zorogen,0
1975,LES,1182877,1187000,zorogen,0
1980,LES,1337500,1339000,zorogen,0
1985,LES,1498895,1503000,zorogen,0
1990,LES,1777980,1783000,zorogen,0
1995,LES,2009716,2027000,zorogen,0
2000,LES,2147825,2153000,zorogen,0
2005,LES,1956593,1995000,zorogen,0
2010,LES,2087864,2094896,zorogen,0
1970,BOT,596930,597000,zorogen,0
1975,BOT,709639,712000,zorogen,0
1980,BOT,878210,894000,zorogen,0
1985,BOT,1087961,1088000,zorogen,0
1990,BOT,1291810,1300000,zorogen,0
1995,BOT,1437300,1456000,zorogen,0
2000,BOT,1612898,1622000,zorogen,0
2005,BOT,1704113,1708000,zorogen,0
2010,BOT,1777598,1807515,zorogen,0
1970,SWA,418996,419000,zorogen,0
1975,SWA,477922,479000,zorogen,0
1980,SWA,548648,550000,zorogen,0
1985,SWA,637944,638000,zorogen,0
1990,SWA,765810,769000,zorogen,0
1995,SWA,904544,908000,zorogen,0
2000,SWA,1006419,1008000,zorogen,0
2005,SWA,1122562,1126000,zorogen,0
2010,SWA,1216670,1220594,zorogen,0
1960,MAG,5359519,5367000,zorogen,0
1965,MAG,6063997,6080000,zorogen,0
1970,MAG,6859956,6860000,zorogen,0
1975,MAG,7752378,7778000,zorogen,0
1980,MAG,9071980,9072000,zorogen,0
1985,MAG,9943710,9985000,zorogen,0
1990,MAG,11117490,11197000,zorogen,0
1995,MAG,14872278,14874000,zorogen,0
2000,MAG,15888537,15942000,zorogen,0
2005,MAG,17684682,17730000,zorogen,0
2010,MAG,20535170,20538780,zorogen,0
1975,COM,312571,316000,zorogen,0
1980,COM,381572,383000,zorogen,0
1985,COM,446123,448000,zorogen,0
1990,COM,521280,523000,zorogen,0
1995,COM,610805,612000,zorogen,0
2000,COM,692798,694000,zorogen,0
2005,COM,599835,600000,zorogen,0
2010,COM,679828,679961,zorogen,0
1970,MAS,828883,829000,zorogen,0
1975,MAS,890842,892000,zorogen,0
1980,MAS,965910,966000,zorogen,0
1985,MAS,1016850,1021000,zorogen,0
1990,MAS,1057550,1059000,zorogen,0
1995,MAS,1106390,1122000,zorogen,0
2000,MAS,1156382,1158000,zorogen,0
2005,MAS,1241089,1243000,zorogen,0
2010,MAS,1280028,1280511,zorogen,0
1980,SEY,62902,63000,zorogen,24
1985,SEY,64723,65000,zorogen,22
1990,SEY,69815,70000,zorogen,20
1995,SEY,74833,75000,zorogen,18
2000,SEY,76538,77000,zorogen,16
2005,SEY,81528,83000,zorogen,16
2010,SEY,86526,86617,zorogen,17
1955,MOR,10541980,10542000,zorogen,0
1960,MOR,11590110,11637000,zorogen,0
1965,MOR,13110937,13194000,zorogen,0
1970,MOR,14887489,14973000,zorogen,0
1975,MOR,16983100,17006000,zorogen,0
1980,MOR,19313080,19332000,zorogen,0
1985,MOR,21748394,21836000,zorogen,0
1990,MOR,24399445,24487000,zorogen,0
1995,MOR,26116205,26386000,zorogen,0
2000,MOR,28032800,28351000,zorogen,0
2005,MOR,30149828,30172000,zorogen,0
2010,MOR,31753775,31776052,zorogen,0
1965,ALG,11279838,11923000,zorogen,0
1970,ALG,13721300,13746000,zorogen,0
1975,ALG,15963610,16018000,zorogen,0
1980,ALG,18573952,18666000,zorogen,0
1985,ALG,21694210,21850000,zorogen,0
1990,ALG,24997000,25022000,zorogen,0
1995,ALG,27217500,28060000,zorogen,0
2000,ALG,31059573,31471000,zorogen,0
2005,ALG,32840714,32906000,zorogen,0
2010,ALG,35594990,35666324,zorogen,0
1955,TUN,3775390,3929000,zorogen,0
1960,TUN,4212792,4221000,zorogen,0
1965,TUN,4604937,4630000,zorogen,0
1970,TUN,5125990,5126000,zorogen,0
1975,TUN,5386008,5611000,zorogen,0
1980,TUN,6467191,6566000,zorogen,0
1985,TUN,7237112,7261000,zorogen,0
1990,TUN,8151450,8154000,zorogen,0
1995,TUN,8919210,8958000,zorogen,0
2000,TUN,9515946,9586000,zorogen,0
2005,TUN,9955710,10029000,zorogen,0
2010,TUN,10482352,10548997,zorogen,0
1950,LIB,986766,1020000,zorogen,0
1955,LIB,1109650,1126000,zorogen,0
1960,LIB,1159000,1300000,zorogen,0
1965,LIB,1518784,1567000,zorogen,0
1970,LIB,1825000,1855000,zorogen,0
1975,LIB,2166945,2230000,zorogen,0
1980,LIB,2675000,2743000,zorogen,0
1985,LIB,3361490,3374000,zorogen,0
1990,LIB,4137778,4151000,zorogen,0
1995,LIB,5248323,5407000,zorogen,0
2000,LIB,5605000,5605000,zorogen,0
2005,LIB,5863770,5923000,zorogen,0
2010,LIB,6506106,6509106,zorogen,0
1960,SUD,11144000,11165000,zorogen,0
1965,SUD,12226576,12359000,zorogen,0
1970,SUD,13734020,13859000,zorogen,0
1975,SUD,15341340,15726000,zorogen,0
1980,SUD,18639515,18681000,zorogen,0
