year,name,sumrelig,pop,religions,relpop,othr,sumreligion,total
1945,BOL,2558000,2850000,jain,0,2558000,2558000,1
1945,BOL,2558000,2850000,conf,0,2558000,2558000,1
1945,BOL,2558000,2850000,sync,0,2558000,2558000,1
1945,BOL,2558000,2850000,anm,0,2558000,2558000,1
1945,BOL,2558000,2850000,nonrelig,0,2558000,2558000,1
1945,BOL,2558000,2850000,othr,292000,2266000,2558000,1
1945,BRA,46132220,46215000,chrst,45845588,286632,46132220,1
1945,BRA,46132220,46215000,jud,34978,46097242,46132220,1
1945,BRA,46132220,46215000,islm,0,46132220,46132220,1
1945,BRA,46132220,46215000,bud,114536,46017684,46132220,1
1945,BRA,46132220,46215000,zoro,0,46132220,46132220,1
1945,BRA,46132220,46215000,hind,0,46132220,46132220,1
1945,BRA,46132220,46215000,sikh,0,46132220,46132220,1
1945,BRA,46132220,46215000,shnt,0,46132220,46132220,1
1945,BRA,46132220,46215000,bah,0,46132220,46132220,1
1945,BRA,46132220,46215000,tao,0,46132220,46132220,1
1945,BRA,46132220,46215000,jain,0,46132220,46132220,1
1945,BRA,46132220,46215000,conf,0,46132220,46132220,1
1945,BRA,46132220,46215000,sync,0,46132220,46132220,1
1945,BRA,46132220,46215000,anm,0,46132220,46132220,1
1945,BRA,46132220,46215000,nonrelig,137118,45995102,46132220,1
1945,BRA,46132220,46215000,othr,82780,46049440,46132220,1
1945,BUL,6938349,6940000,chrst,5948011,990338,6938349,1
1945,BUL,6938349,6940000,jud,43336,6895013,6938349,1
1945,BUL,6938349,6940000,islm,935418,6002931,6938349,1
1945,BUL,6938349,6940000,bud,39,6938310,6938349,1
1945,BUL,6938349,6940000,zoro,0,6938349,6938349,1
1945,BUL,6938349,6940000,hind,0,6938349,6938349,1
1945,BUL,6938349,6940000,sikh,0,6938349,6938349,1
1945,BUL,6938349,6940000,shnt,0,6938349,6938349,1
1945,BUL,6938349,6940000,bah,0,6938349,6938349,1
1945,BUL,6938349,6940000,tao,0,6938349,6938349,1
1945,BUL,6938349,6940000,jain,0,6938349,6938349,1
1945,BUL,6938349,6940000,conf,0,6938349,6938349,1
1945,BUL,6938349,6940000,sync,0,6938349,6938349,1
1945,BUL,6938349,6940000,anm,0,6938349,6938349,1
1945,BUL,6938349,6940000,nonrelig,11545,6926804,6938349,1
1945,BUL,6938349,6940000,othr,1651,6936698,6938349,1
1945,CAN,10839717,11506655,chrst,10531961,307756,10839717,1
1945,CAN,10839717,11506655,jud,176690,10663027,10839717,1
1945,CAN,10839717,11506655,islm,0,10839717,10839717,1
1945,CAN,10839717,11506655,bud,115066,10724651,10839717,1
1945,CAN,10839717,11506655,zoro,0,10839717,10839717,1
1945,CAN,10839717,11506655,hind,0,10839717,10839717,1
1945,CAN,10839717,11506655,sikh,5000,10834717,10839717,1
1945,CAN,10839717,11506655,shnt,0,10839717,10839717,1
1945,CAN,10839717,11506655,bah,0,10839717,10839717,1
1945,CAN,10839717,11506655,tao,0,10839717,10839717,1
1945,CAN,10839717,11506655,jain,0,10839717,10839717,1
1945,CAN,10839717,11506655,conf,0,10839717,10839717,1
1945,CAN,10839717,11506655,sync,11000,10828717,10839717,1
1945,CAN,10839717,11506655,anm,0,10839717,10839717,1
1945,CAN,10839717,11506655,nonrelig,0,10839717,10839717,1
1945,CAN,10839717,11506655,othr,666938,10172779,10839717,1
1945,CHL,5148592,5540000,chrst,5094592,54000,5148592,1
1945,CHL,5148592,5540000,jud,4000,5144592,5148592,1
1945,CHL,5148592,5540000,islm,0,5148592,5148592,1
1945,CHL,5148592,5540000,bud,0,5148592,5148592,1
1945,CHL,5148592,5540000,zoro,0,5148592,5148592,1
1945,CHL,5148592,5540000,hind,0,5148592,5148592,1
1945,CHL,5148592,5540000,sikh,0,5148592,5148592,1
1945,CHL,5148592,5540000,shnt,0,5148592,5148592,1
1945,CHL,5148592,5540000,bah,0,5148592,5148592,1
1945,CHL,5148592,5540000,tao,0,5148592,5148592,1
1945,CHL,5148592,5540000,jain,0,5148592,5148592,1
1945,CHL,5148592,5540000,conf,0,5148592,5148592,1
1945,CHL,5148592,5540000,sync,0,5148592,5148592,1
1945,CHL,5148592,5540000,anm,50000,5098592,5148592,1
1945,CHL,5148592,5540000,nonrelig,0,5148592,5148592,1
1945,CHL,5148592,5540000,othr,391408,4757184,5148592,1
1945,CHN,548509386,548586000,chrst,381003,548128383,548509386,1
1945,CHN,548509386,548586000,jud,936,548508450,548509386,1
1945,CHN,548509386,548586000,islm,27429300,521080086,548509386,1
1945,CHN,548509386,548586000,bud,48152000,500357386,548509386,1
1945,CHN,548509386,548586000,zoro,118,548509268,548509386,1
1945,CHN,548509386,548586000,hind,9863,548499523,548509386,1
1945,CHN,548509386,548586000,sikh,4544,548504842,548509386,1
1945,CHN,548509386,548586000,shnt,0,548509386,548509386,1
1945,CHN,548509386,548586000,bah,152,548509234,548509386,1
1945,CHN,548509386,548586000,tao,120950,548388436,548509386,1
1945,CHN,548509386,548586000,jain,0,548509386,548509386,1
1945,CHN,548509386,548586000,conf,0,548509386,548509386,1
1945,CHN,548509386,548586000,sync,422411220,126098166,548509386,1
1945,CHN,548509386,548586000,anm,20570000,527939386,548509386,1
1945,CHN,548509386,548586000,nonrelig,29429300,519080086,548509386,1
1945,CHN,548509386,548586000,othr,76614,548432772,548509386,1
1945,COL,9293000,10270000,chrst,9293000,0,9293000,1
1945,COL,9293000,10270000,jud,0,9293000,9293000,1
1945,COL,9293000,10270000,islm,0,9293000,9293000,1
1945,COL,9293000,10270000,bud,0,9293000,9293000,1
1945,COL,9293000,10270000,zoro,0,9293000,9293000,1
1945,COL,9293000,10270000,hind,0,9293000,9293000,1
1945,COL,9293000,10270000,sikh,0,9293000,9293000,1
1945,COL,9293000,10270000,shnt,0,9293000,9293000,1
1945,COL,9293000,10270000,bah,0,9293000,9293000,1
1945,COL,9293000,10270000,tao,0,9293000,9293000,1
1945,COL,9293000,10270000,jain,0,9293000,9293000,1
1945,COL,9293000,10270000,conf,0,9293000,9293000,1
1945,COL,9293000,10270000,sync,0,9293000,9293000,1
1945,COL,9293000,10270000,anm,0,9293000,9293000,1
1945,COL,9293000,10270000,nonrelig,0,9293000,9293000,1
1945,COL,9293000,10270000,othr,977000,8316000,9293000,1
1945,COS,680000,700000,chrst,680000,0,680000,1
1945,COS,680000,700000,jud,0,680000,680000,1
1945,COS,680000,700000,islm,0,680000,680000,1
1945,COS,680000,700000,bud,0,680000,680000,1
1945,COS,680000,700000,zoro,0,680000,680000,1
1945,COS,680000,700000,hind,0,680000,680000,1
1945,COS,680000,700000,sikh,0,680000,680000,1
1945,COS,680000,700000,shnt,0,680000,680000,1
1945,COS,680000,700000,bah,0,680000,680000,1
1945,COS,680000,700000,tao,0,680000,680000,1
1945,COS,680000,700000,jain,0,680000,680000,1
1945,COS,680000,700000,conf,0,680000,680000,1
1945,COS,680000,700000,sync,0,680000,680000,1
1945,COS,680000,700000,anm,0,680000,680000,1
1945,COS,680000,700000,nonrelig,0,680000,680000,1
1945,COS,680000,700000,othr,20000,660000,680000,1
1945,CUB,8517565,4930000,chrst,4573565,3944000,8517565,1
1945,CUB,8517565,4930000,jud,0,8517565,8517565,1
1945,CUB,8517565,4930000,islm,0,8517565,8517565,1
1945,CUB,8517565,4930000,bud,0,8517565,8517565,1
1945,CUB,8517565,4930000,zoro,0,8517565,8517565,1
1945,CUB,8517565,4930000,hind,0,8517565,8517565,1
1945,CUB,8517565,4930000,sikh,0,8517565,8517565,1
1945,CUB,8517565,4930000,shnt,0,8517565,8517565,1
1945,CUB,8517565,4930000,bah,0,8517565,8517565,1
1945,CUB,8517565,4930000,tao,0,8517565,8517565,1
1945,CUB,8517565,4930000,jain,0,8517565,8517565,1
1945,CUB,8517565,4930000,conf,0,8517565,8517565,1
1945,CUB,8517565,4930000,sync,3944000,4573565,8517565,1
1945,CUB,8517565,4930000,anm,0,8517565,8517565,1
1945,CUB,8517565,4930000,nonrelig,0,8517565,8517565,1
1945,CUB,8517565,4930000,othr,0,8517565,8517565,1
1945,CZE,14148755,14150000,chrst,10593255,3555500,14148755,1
1945,CZE,14148755,14150000,jud,50000,14098755,14148755,1
1945,CZE,14148755,14150000,islm,0,14148755,14148755,1
1945,CZE,14148755,14150000,bud,0,14148755,14148755,1
1945,CZE,14148755,14150000,zoro,0,14148755,14148755,1
1945,CZE,14148755,14150000,hind,0,14148755,14148755,1
1945,CZE,14148755,14150000,sikh,0,14148755,14148755,1
1945,CZE,14148755,14150000,shnt,0,14148755,14148755,1
1945,CZE,14148755,14150000,bah,0,14148755,14148755,1
1945,CZE,14148755,14150000,tao,0,14148755,14148755,1
1945,CZE,14148755,14150000,jain,0,14148755,14148755,1
1945,CZE,14148755,14150000,conf,0,14148755,14148755,1
1945,CZE,14148755,14150000,sync,0,14148755,14148755,1
1945,CZE,14148755,14150000,anm,0,14148755,14148755,1
1945,CZE,14148755,14150000,nonrelig,3505500,10643255,14148755,1
1945,CZE,14148755,14150000,othr,1245,14147510,14148755,1
1945,DEN,4007701,4040000,chrst,3986493,21208,4007701,1
1945,DEN,4007701,4040000,jud,5785,4001916,4007701,1
1945,DEN,4007701,4040000,islm,0,4007701,4007701,1
1945,DEN,4007701,4040000,bud,0,4007701,4007701,1
1945,DEN,4007701,4040000,zoro,0,4007701,4007701,1
1945,DEN,4007701,4040000,hind,0,4007701,4007701,1
1945,DEN,4007701,4040000,sikh,0,4007701,4007701,1
1945,DEN,4007701,4040000,shnt,0,4007701,4007701,1
1945,DEN,4007701,4040000,bah,0,4007701,4007701,1
1945,DEN,4007701,4040000,tao,0,4007701,4007701,1
1945,DEN,4007701,4040000,jain,0,4007701,4007701,1
1945,DEN,4007701,4040000,conf,0,4007701,4007701,1
1945,DEN,4007701,4040000,sync,0,4007701,4007701,1
1945,DEN,4007701,4040000,anm,0,4007701,4007701,1
1945,DEN,4007701,4040000,nonrelig,15423,3992278,4007701,1
1945,DEN,4007701,4040000,othr,32299,3975402,4007701,1
1945,DOM,1879020,1980000,chrst,1879020,0,1879020,1
1945,DOM,1879020,1980000,jud,0,1879020,1879020,1
1945,DOM,1879020,1980000,islm,0,1879020,1879020,1
1945,DOM,1879020,1980000,bud,0,1879020,1879020,1
1945,DOM,1879020,1980000,zoro,0,1879020,1879020,1
1945,DOM,1879020,1980000,hind,0,1879020,1879020,1
1945,DOM,1879020,1980000,sikh,0,1879020,1879020,1
1945,DOM,1879020,1980000,shnt,0,1879020,1879020,1
1945,DOM,1879020,1980000,bah,0,1879020,1879020,1
1945,DOM,1879020,1980000,tao,0,1879020,1879020,1
1945,DOM,1879020,1980000,jain,0,1879020,1879020,1
1945,DOM,1879020,1980000,conf,0,1879020,1879020,1
1945,DOM,1879020,1980000,sync,0,1879020,1879020,1
1945,DOM,1879020,1980000,anm,0,1879020,1879020,1
1945,DOM,1879020,1980000,nonrelig,0,1879020,1879020,1
1945,DOM,1879020,1980000,othr,100980,1778040,1879020,1
1945,ECU,2502000,2780000,chrst,2502000,0,2502000,1
1945,ECU,2502000,2780000,jud,0,2502000,2502000,1
1945,ECU,2502000,2780000,islm,0,2502000,2502000,1
1945,ECU,2502000,2780000,bud,0,2502000,2502000,1
1945,ECU,2502000,2780000,zoro,0,2502000,2502000,1
1945,ECU,2502000,2780000,hind,0,2502000,2502000,1
1945,ECU,2502000,2780000,sikh,0,2502000,2502000,1
1945,ECU,2502000,2780000,shnt,0,2502000,2502000,1
1945,ECU,2502000,2780000,bah,0,2502000,2502000,1
1945,ECU,2502000,2780000,tao,0,2502000,2502000,1
1945,ECU,2502000,2780000,jain,0,2502000,2502000,1
1945,ECU,2502000,2780000,conf,0,2502000,2502000,1
1945,ECU,2502000,2780000,sync,0,2502000,2502000,1
1945,ECU,2502000,2780000,anm,0,2502000,2502000,1
1945,ECU,2502000,2780000,nonrelig,0,2502000,2502000,1
1945,ECU,2502000,2780000,othr,278000,2224000,2502000,1
1945,EGY,18359909,18460000,chrst,2888520,15471389,18359909,1
1945,EGY,18359909,18460000,jud,43159,18316750,18359909,1
1945,EGY,18359909,18460000,islm,15428230,2931679,18359909,1
1945,EGY,18359909,18460000,bud,0,18359909,18359909,1
1945,EGY,18359909,18460000,zoro,0,18359909,18359909,1
1945,EGY,18359909,18460000,hind,0,18359909,18359909,1
1945,EGY,18359909,18460000,sikh,0,18359909,18359909,1
1945,EGY,18359909,18460000,shnt,0,18359909,18359909,1
1945,EGY,18359909,18460000,bah,0,18359909,18359909,1
1945,EGY,18359909,18460000,tao,0,18359909,18359909,1
1945,EGY,18359909,18460000,jain,0,18359909,18359909,1
1945,EGY,18359909,18460000,conf,0,18359909,18359909,1
1945,EGY,18359909,18460000,sync,0,18359909,18359909,1
1945,EGY,18359909,18460000,anm,0,18359909,18359909,1
1945,EGY,18359909,18460000,nonrelig,0,18359909,18359909,1
1945,EGY,18359909,18460000,othr,100091,18259818,18359909,1
1945,ETH,17201734,17202000,chrst,8110359,9091375,17201734,1
1945,ETH,17201734,17202000,jud,20490,17181244,17201734,1
1945,ETH,17201734,17202000,islm,4918820,12282914,17201734,1
1945,ETH,17201734,17202000,bud,0,17201734,17201734,1
1945,ETH,17201734,17202000,zoro,0,17201734,17201734,1
1945,ETH,17201734,17202000,hind,1044,17200690,17201734,1
1945,ETH,17201734,17202000,sikh,0,17201734,17201734,1
1945,ETH,17201734,17202000,shnt,0,17201734,17201734,1
1945,ETH,17201734,17202000,bah,1021,17200713,17201734,1
1945,ETH,17201734,17202000,tao,0,17201734,17201734,1
1945,ETH,17201734,17202000,jain,0,17201734,17201734,1
1945,ETH,17201734,17202000,conf,0,17201734,17201734,1
1945,ETH,17201734,17202000,sync,0,17201734,17201734,1
1945,ETH,17201734,17202000,anm,4150000,13051734,17201734,1
1945,ETH,17201734,17202000,nonrelig,0,17201734,17201734,1
1945,ETH,17201734,17202000,othr,266,17201468,17201734,1
1945,FIN,3819688,3820000,chrst,3738694,80994,3819688,1
1945,FIN,3819688,3820000,jud,1517,3818171,3819688,1
1945,FIN,3819688,3820000,islm,570,3819118,3819688,1
1945,FIN,3819688,3820000,bud,0,3819688,3819688,1
1945,FIN,3819688,3820000,zoro,0,3819688,3819688,1
1945,FIN,3819688,3820000,hind,0,3819688,3819688,1
