year,name,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop
1945,USA,66069671,38716742,1121898,2400000,1956807,110265118,821489,1364508,1902885,552300,4641182,0,0,0,0,0,0,0,0,0,0,1601218,1601218,0,0,0,0,0,0,0,0,0,0,22874544,545938,139382062,139928000
1950,USA,73090083,42635882,3045420,3045420,1177214,122994019,1078078,1790706,2497244,724809,6090837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22568130,618022,151652986,152271008
1955,USA,79294628,46402368,3454916,2572767,2277091,134001770,944000,1568000,2186666,634666,5333332,0,0,0,0,0,0,0,0,0,0,90173,90173,0,0,0,0,0,0,0,0,0,0,23303540,3202185,162728815,165931000
1960,USA,90692928,50587880,3334535,2710065,2908939,150234347,973500,1617000,2255000,654500,5500000,0,0,0,0,0,0,0,0,0,0,2012131,2012131,0,0,0,0,0,0,0,0,0,0,21548225,1376297,179294703,180671000
1965,USA,94165803,64761783,4792868,2822149,973155,167515758,991200,1646400,2296000,666400,5600000,0,0,0,0,0,0,0,0,0,0,1080892,1080892,0,0,0,0,0,0,0,0,0,0,19852362,581988,194049012,194631000
1970,USA,93918347,69119143,5498914,3030647,1300000,172867051,1088550,1808100,2521500,731850,6150000,0,0,0,0,0,0,0,0,0,0,1113861,1113861,0,0,0,0,90247,0,0,0,0,0,20474592,10249,200695751,200706000
1975,USA,93578909,77181399,6651649,3239145,2159430,182810532,1185900,1969800,2747000,797300,6700000,0,0,0,0,0,0,0,0,0,0,1019556,1019556,0,159778,1597,0,220494,0,0,0,0,0,24789671,241372,215701628,215943000
1980,USA,101216516,75149580,4677202,3576566,2030000,186649864,1284843,2134146,2976190,863821,7259000,2407464,254121,0,0,0,4975,0,2666560,0,0,1357967,1357967,0,995149,0,0,0,89563,0,0,0,59708,26813635,1834554,225891446,227726000
1985,USA,107309700,82463100,5245662,3576990,1192330,199787782,1352280,2146160,3132400,879160,7510000,2186675,298183,0,0,0,0,0,2484858,0,0,1984325,1984325,0,1005000,0,0,0,0,0,0,0,0,25396899,297136,238168864,238466000
1990,USA,132040181,65530789,6715078,4334627,5804487,214425162,975005,1619500,2258487,655512,5508504,2019386,275371,0,0,0,0,0,2294757,0,0,1575481,1575481,52301,323352,18517,59724,887961,100408,6410,0,0,78345,24413914,162164,249744836,249907000
1995,USA,123669458,70308695,6639161,4476661,10500000,215593975,930925,1546282,2156380,625876,5259463,2134332,291045,0,0,0,0,0,2425377,0,0,1608346,1608346,758150,574269,47402,57972,672364,55771,6684,39248,270915,219079,34475517,690468,262064532,262755000
2000,USA,115298736,75086601,6563244,4618694,18251030,219818305,886845,1473065,2054274,596240,5010424,2249277,306720,0,0,0,0,0,2555997,808358,0,1641211,2449569,1464000,825186,76286,56220,456767,11134,6959,78497,541831,359813,44537120,108892,278248108,278357000
2005,USA,117527349,76742245,6800059,4733159,20661993,226464805,979982,1627767,2270015,658858,5536622,2363129,322245,0,0,0,0,0,2685374,858297,0,2824397,3682694,1554443,1311442,269862,60560,456767,11134,79459,86656,672506,1066695,51781800,175181,295720819,295896000
2010,USA,119755961,78397889,7036875,4847625,23072957,233111307,1051778,1747021,2436322,707127,5942248,2476980,337770,0,0,0,0,0,2814750,908236,0,2502000,3410236,1644887,1797698,406908,156375,482784,11768,83984,91591,803181,1773577,59422500,796206,311953794,312750000
1945,CAN,4002534,5038280,241370,1137777,112000,10531961,35338,61842,26503,53007,176690,0,0,0,0,0,0,0,0,0,0,115066,115066,0,0,5000,0,0,0,0,0,11000,0,0,666938,10839717,11506655
1950,CAN,4098000,6181650,200560,1300614,444655,12225479,35991,62984,26993,53986,179954,0,0,0,0,0,0,2006,2006,0,0,112006,112006,0,2006,10001,0,1000,0,0,0,14973,50003,128304,1011268,12725732,13737000
1955,CAN,4248720,7338356,314989,1720140,347327,13969532,43432,76006,32574,65148,217160,0,0,0,0,0,0,1003,1003,0,0,446608,446608,0,1003,5000,0,500,0,0,171199,7486,25001,64152,827356,14908644,15736000
1960,CAN,4635491,8495062,350000,2439666,250000,16170219,50873,89028,38155,76310,254366,0,0,0,0,0,0,0,0,0,0,781211,781211,0,0,0,0,0,0,0,342398,0,0,0,360806,17548194,17909000
1965,CAN,5138863,9051880,429419,2400068,296329,17316559,57330,100327,42997,85995,286649,0,0,0,0,0,0,0,0,0,0,790000,790000,0,0,0,0,0,0,0,376219,0,0,500000,408573,19269427,19678000
1970,CAN,5750190,10009590,638910,1064850,425940,17889480,57502,100628,43126,86253,287509,0,0,0,0,0,0,41103,41103,0,0,15696,15696,0,19615,19615,0,23640,0,980,407172,29390,11777,713821,1837202,19459798,21297000
1975,CAN,6124060,11633595,347936,1760568,231580,20097739,60739,106293,45554,91109,303695,0,0,0,0,0,0,43385,43385,0,0,16527,16527,0,20659,7230,0,0,30989,0,0,0,12395,2444940,164441,22977559,23142000
1980,CAN,6792962,11670690,327798,2564522,198410,21554382,61719,108008,46289,92578,308594,158057,17562,0,0,0,0,0,175619,0,0,20847,20847,0,50986,9064,0,0,29458,0,0,0,150692,1959478,256880,24259120,24516000
1985,CAN,7450000,12636160,400000,2600000,210000,23296160,62714,109750,47036,94072,313572,191529,21281,0,0,0,0,0,212810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011269,9190,25833811,25843000
1990,CAN,7936000,12720000,510000,2880000,300000,24346000,70000,122500,52500,105000,350000,225000,25000,0,0,0,0,0,250000,0,0,500000,500000,10200,155000,240000,0,0,280000,0,0,0,9000,1545500,15300,27685700,27701000
1995,CAN,8001536,13399222,550896,2701453,305735,24958842,72376,126658,54282,108564,361880,112500,12500,0,0,0,0,0,125000,0,0,250000,250000,7577,170941,197867,272,9010,141722,0,1230,0,36487,2772795,320377,29033623,29354000
2000,CAN,8067073,14078444,591793,2522907,311470,25571687,74752,130817,56064,112129,373762,252291,28032,0,0,0,0,0,280323,0,0,360000,360000,4955,186882,155735,545,18020,3445,0,2460,0,63975,4000090,125121,31021879,31147000
2005,CAN,8996090,13649240,589399,2512701,310210,26057640,68246,119430,51184,102369,341229,581400,64600,0,0,0,0,0,646000,0,0,605000,605000,5138,193800,161500,565,18687,3572,0,2551,0,66343,4100000,97975,32202025,32300000
2010,CAN,7929127,14497030,785000,2722447,497500,26431104,68061,119107,51045,102091,340304,600000,70000,0,0,0,0,0,670000,0,0,670000,670000,6130,275000,275000,915,18945,3620,3320,2700,27000,70861,5670000,35101,34464899,34500000
1975,BHM,100339,15750,514,48000,0,164603,0,0,0,768,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,17208,171792,189000
1980,BHM,104580,21000,600,48000,0,174180,0,0,0,620,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,6940,24360,185640,210000
1985,BHM,109000,28000,700,48000,0,185700,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,38300,193700,232000
1990,BHM,124600,35475,195,49400,0,209670,0,0,0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,75,0,5225,39130,215870,255000
1995,BHM,148938,49688,200,54819,0,253645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30355,253645,284000
2000,BHM,207870,43050,0,46125,0,297045,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,1000,8917,146,307354,307500
2005,BHM,219700,45500,0,48750,0,313950,0,0,0,317,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,1056,9425,155,324845,325000
2010,BHM,211798,43863,0,46996,0,302657,0,0,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,1018,9086,153,313159,313312
1945,CUB,185865,4387700,0,0,0,4573565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944000,0,0,0,8517565,4930000
1950,CUB,220852,4964000,0,0,0,5184852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4686400,0,0,0,9871252,5858000
1955,CUB,242266,5462100,0,0,0,5704366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5140800,0,0,0,10845166,6426000
1960,CUB,265000,5924000,0,0,0,6189000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5623200,0,0,0,11812200,7029000
1965,CUB,265000,5960920,0,0,0,6225920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5920000,0,0,0,12145920,7400000
1970,CUB,238062,6119229,2000,12000,11009,6382300,0,0,0,1800,1800,0,0,0,0,0,0,0,0,0,0,5000,5000,0,3000,0,0,500,0,0,0,5982200,0,2100000,0,14474800,8546000
1975,CUB,260000,6219229,2000,12000,11009,6504238,0,0,0,1800,1800,0,0,0,0,0,0,1000,1000,0,0,5000,5000,0,3000,0,0,0,4000,0,0,5982200,0,1935400,0,14436638,8546000
1980,CUB,437580,6471000,0,13000,0,6921580,0,0,0,2200,2200,0,0,0,0,0,0,0,0,0,0,6000,6000,0,0,0,0,0,0,0,0,6806800,252000,2435400,0,16423980,9724000
1985,CUB,403920,7151000,0,0,0,7554920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7068600,0,2502000,0,17125520,10098000
1990,CUB,424960,7250000,1450,3800,0,7680210,0,0,0,1000,1000,0,0,0,0,0,0,8000,8000,0,0,6000,6000,0,21000,0,0,800,20000,0,0,6374400,0,2577060,0,16688470,10624000
1995,CUB,436160,8088000,0,0,0,8524160,0,0,0,1020,1020,0,0,0,0,0,0,8160,8160,0,0,6120,6120,0,21420,0,0,816,20400,0,0,6588000,0,2267812,0,17437908,10980000
2000,CUB,500000,7280650,0,0,320000,8100650,0,0,0,500,500,0,0,0,0,0,0,8500,8500,0,0,0,0,0,0,0,0,0,0,0,0,7840700,0,1680150,0,17630500,11201000
2005,CUB,562150,6745800,40000,3500,168645,7520095,0,0,0,1200,1200,0,0,0,0,0,0,7200,7200,0,0,0,0,0,11000,0,0,0,21501,0,0,5621500,0,1478532,0,14661028,11243000
2010,CUB,550000,6744696,0,0,112411,7407107,0,0,0,1500,1500,0,0,0,0,0,0,8000,8000,0,0,0,0,0,25000,0,0,0,0,0,0,5620580,0,1478290,0,14540477,11241161
1945,HAI,310000,2626500,0,0,0,2936500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545000,0,0,0,4481500,3090000
1950,HAI,310000,2634000,0,0,0,2944000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548500,0,0,0,4492500,3097000
1955,HAI,321500,2777000,0,0,0,3098500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000,0,0,0,4848500,3500000
1960,HAI,333000,2920000,0,0,0,3253000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902000,0,0,0,5155000,3804000
1965,HAI,344911,3372970,0,25000,0,3742881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071500,0,0,0,5814381,4143000
1970,HAI,400073,3797400,0,38452,0,4235925,0,0,0,100,100,0,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,10700,0,0,0,2260000,0,183830,0,6692055,4520000
1975,HAI,464056,4089750,0,0,0,4553806,0,0,0,100,100,0,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,2460000,0,183830,0,7199236,4920000
1980,HAI,574900,4382100,0,45500,0,5002500,0,0,0,100,100,0,0,0,0,0,0,1700,1700,0,0,0,0,0,0,0,0,0,0,0,0,2676500,106300,57900,0,7845000,5353000
1985,HAI,610000,4515000,0,0,0,5125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932500,0,520000,0,8577500,5865000
1990,HAI,730500,5120000,0,84000,0,5934500,0,0,0,160,160,0,0,0,0,0,0,1660,1660,0,0,0,0,0,0,0,0,0,180,0,0,3243000,0,410442,0,9589942,6486000
1995,HAI,745110,5834400,0,42000,0,6621510,0,0,0,129,129,0,0,0,0,0,0,830,830,0,0,0,0,0,0,0,0,4263,90,0,0,3590000,0,0,0,10216822,7180000
2000,HAI,822200,6555400,0,0,0,7377600,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8527,0,0,0,5088500,0,822200,0,13296925,8222000
2005,HAI,941000,7057500,0,0,0,7998500,0,0,0,500,500,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,11200,0,0,0,6587000,0,941000,0,15540200,9410000
2010,HAI,976083,7027799,0,0,0,8003882,0,0,0,120,120,0,0,0,0,0,0,1750,1750,0,0,0,0,0,0,0,0,8527,0,0,0,4392374,0,976083,0,13382736,9760832
1945,DOM,31680,1847340,0,0,0,1879020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100980,1879020,1980000
1950,DOM,33440,2098474,0,0,0,2131914,0,0,0,463,463,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,0,0,1845,105722,2134278,2240000
1955,DOM,40952,2450000,0,0,0,2490952,0,0,0,231,231,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,62789,2491211,2554000
1960,DOM,48465,3101000,0,0,0,3149465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81535,3149465,3231000
1965,DOM,50250,3189200,0,0,0,3239450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110550,3239450,3350000
1970,DOM,406200,3189200,0,3139,0,3598539,0,0,0,350,350,0,0,0,0,0,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,450000,11611,4050389,4062000
1975,DOM,516670,3428810,0,3769,0,3949249,0,0,0,415,415,0,0,0,0,0,0,0,0,0,0,750,750,0,0,0,0,2750,0,0,0,0,32550,580000,131286,4565714,4697000
1980,DOM,151000,4700025,0,4400,0,4855425,0,0,0,480,480,0,0,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,5500,0,0,0,0,65100,626670,141825,5555175,5697000
1985,DOM,109072,5248288,0,0,0,5357360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,705760,292880,6123120,6416000
1990,DOM,285000,5755952,0,3800,0,6044752,0,0,0,0,0,0,0,0,0,0,0,1600,1600,0,0,1470,1470,0,0,0,0,5000,5000,0,0,0,0,781672,266620,6839494,7106114
1995,DOM,788700,5305800,0,3800,0,6098300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,788700,278000,6892000,7170000
2000,DOM,743538,5783075,0,0,0,6526613,0,0,0,100,100,0,0,0,0,0,0,1873,1873,0,0,1533,1533,0,0,0,0,0,6580,0,0,0,0,1652307,72530,8189006,8261536
2005,DOM,1010238,6474708,0,0,0,7484946,0,0,0,100,100,0,0,0,0,0,0,2083,2083,0,0,1705,1705,0,0,0,0,0,7315,0,0,0,0,1653117,34718,9149266,9183984
2010,DOM,1493497,7168786,0,0,0,8662283,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194797,99468,9857180,9956648
1960,JAM,1113072,115291,55000,44000,0,1327363,0,0,0,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,0,0,0,0,0,0,0,0,273293,10711,1602437,1613148
1965,JAM,1116720,115291,52467,47643,0,1332121,0,0,0,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,0,0,0,0,0,0,0,0,183783,200346,1517685,1718031
1970,JAM,1161798,160873,0,50000,73000,1445671,0,0,0,1800,1800,0,0,0,0,0,0,3000,3000,0,0,300,300,0,5600,0,0,0,1000,0,0,0,0,182000,170629,1639371,1810000
1975,JAM,1164819,134226,0,87274,93750,1480069,0,0,0,900,900,0,0,0,0,0,0,1500,1500,0,0,320,320,0,6300,0,0,5000,700,400,0,0,117150,121900,75761,1734239,1810000
1980,JAM,1167840,107580,0,124548,114500,1514468,0,0,0,2080,2080,0,0,0,0,0,0,0,0,0,0,340,340,0,6400,0,0,5000,0,800,0,0,234300,41800,4812,1805188,1810000
1985,JAM,1657000,105000,0,110000,125000,1997000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254210,59790,2251210,2311000
1990,JAM,1335978,98049,28980,133791,105000,1701798,0,0,0,600,600,0,0,0,0,0,0,3000,3000,0,0,300,300,0,27100,0,0,0,6200,0,0,0,0,617757,58245,2356755,2415000
1995,JAM,1422741,82474,24951,113518,110895,1754579,0,0,0,555,555,0,0,0,0,0,0,3078,3078,0,0,308,308,0,28916,0,0,0,6636,0,0,0,0,615351,5577,2409423,2415000
2000,JAM,1509505,66899,20922,93246,116790,1807362,0,0,0,511,511,0,0,0,0,0,0,3156,3156,0,0,316,316,0,30733,0,0,0,7073,0,0,0,0,612945,120904,2462096,2583000
2005,JAM,1622752,62449,10461,84123,110895,1890680,0,0,0,521,521,0,0,0,0,0,0,2334,2334,0,0,319,319,0,23347,0,0,104,3536,0,0,0,0,592472,136687,2513313,2650000
2010,JAM,1736000,58000,0,75000,105000,1974000,0,0,0,531,531,0,0,0,0,0,0,1513,1513,0,0,322,322,0,15961,0,0,209,0,0,0,0,0,572000,304094,2564536,2868630
1960,TRI,79520,299649,0,175042,20485,574696,0,0,0,0,0,0,0,0,0,0,0,49736,49736,0,0,0,0,0,190403,0,0,0,0,0,0,0,0,23122,62043,837957,900000
1965,TRI,93020,334314,0,160346,19662,607342,0,0,0,150,150,0,0,0,0,0,0,54968,54968,0,0,1000,1000,0,210306,0,0,300,2000,0,0,0,0,12061,108717,888127,996844
1970,TRI,106520,368980,0,145650,18840,639990,0,0,0,300,300,0,0,0,0,0,0,60200,60200,0,0,2000,2000,0,230209,0,0,600,4000,0,0,0,0,1000,32701,938299,971000
1975,TRI,125460,391590,2350,147175,75000,741575,0,0,0,400,400,0,0,0,0,0,600,64600,65200,0,0,2000,2000,0,249454,0,0,4300,2000,0,1800,0,5100,1100,103071,1072929,1176000
1980,TRI,144400,414200,4700,148700,0,712000,0,0,0,500,500,0,0,0,0,0,1200,69000,70200,0,0,2000,2000,0,268700,0,0,8000,0,0,3600,0,10200,1200,5600,1076400,1082000
1985,TRI,153140,424080,0,150600,0,727820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,150000,180,1177820,1178000
1990,TRI,216270,391230,7100,145800,0,760400,0,0,0,600,600,0,0,0,0,0,0,80190,80190,0,0,3900,3900,0,315900,0,0,0,5000,0,0,0,0,15795,33215,1181785,1215000
1995,TRI,255117,387275,3550,130527,0,776469,0,0,0,602,602,0,0,0,0,0,0,82830,82830,0,0,3966,3966,0,323710,0,0,0,5039,0,0,0,0,22142,45242,1214758,1260000
2000,TRI,293965,383320,0,115255,0,792540,0,0,0,605,605,0,0,0,0,0,0,85470,85470,0,0,4032,4032,0,331520,0,0,0,5078,0,0,0,0,28490,47265,1247735,1295000
2005,TRI,279692,364709,0,109659,0,754060,0,0,0,611,611,0,0,0,0,0,0,75085,75085,0,0,4118,4118,0,283514,0,0,0,2539,0,0,0,0,100296,73777,1220223,1294000
2010,TRI,365100,285670,3500,75000,0,729270,0,0,0,0,0,0,0,0,0,0,0,65700,65700,0,0,0,0,0,240100,0,0,0,0,0,0,0,0,175640,94290,1210710,1305000
1970,BAR,50582,9000,16108,90000,0,165690,0,0,0,30,30,0,0,0,0,0,0,400,400,0,0,0,0,0,100,0,0,0,0,0,0,0,0,40814,31966,207034,239000
1975,BAR,49601,11050,8154,92460,6500,167765,0,0,0,15,15,0,0,0,0,0,0,410,410,0,0,0,0,0,255,0,0,720,0,0,0,0,4300,26912,38623,200377,239000
1980,BAR,46620,13100,200,94920,13000,167840,0,0,0,30,30,0,0,0,0,0,0,420,420,0,0,0,0,0,411,0,0,1440,0,0,0,0,8600,13010,57249,191751,249000
1985,BAR,67230,9960,0,99600,0,176790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,61210,191790,253000
1990,BAR,77536,11230,3700,84707,0,177173,0,0,0,30,30,0,0,0,0,0,0,1079,1079,0,0,100,100,0,800,0,0,2500,0,0,0,0,25,14100,61193,195807,257000
1995,BAR,87557,11258,3659,80531,0,183005,0,0,0,31,31,0,0,0,0,0,0,1885,1885,0,0,104,104,0,859,0,0,1250,0,0,0,0,26,58698,18142,245858,264000
2000,BAR,97578,11286,3618,76356,0,188838,0,0,0,32,32,0,0,0,0,0,0,1782,1782,0,0,108,108,0,918,0,0,0,0,0,0,0,28,55566,22728,247272,270000
2005,BAR,99456,11375,1809,74656,0,187296,0,0,0,31,31,0,0,0,0,0,0,2041,2041,0,0,114,114,0,1059,0,0,0,0,0,0,0,24,57375,25060,247940,273000
2010,BAR,101335,11464,0,72957,0,185756,0,0,0,30,30,0,0,0,0,0,0,2300,2300,0,0,120,120,0,1200,0,0,0,0,0,0,0,0,59184,40115,248590,288705
1980,DMA,4640,69300,0,0,0,73940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,73940,74000
1985,DMA,5000,68000,0,0,1000,74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,74000,75000
1990,DMA,10600,57600,0,1280,0,69480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,140,0,0,0,0,0,0,0,0,0,2290,69710,72000
1995,DMA,10900,56850,0,1300,0,69050,0,0,0,0,0,0,0,0,0,0,0,69,69,0,0,46,46,0,140,0,0,0,0,0,0,0,0,1000,695,70305,71000
2000,DMA,15200,42843,0,433,2489,60965,0,0,0,0,0,0,0,0,0,0,0,139,139,0,0,92,92,0,141,0,0,0,0,0,0,0,0,5000,4663,66337,71000
2005,DMA,13075,49526,0,216,1244,64061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,88,0,68,0,0,0,0,0,0,0,0,4690,3479,68907,72386
2010,DMA,10950,56210,0,0,0,67160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4380,1460,71540,73000
1975,GRN,9800,60000,0,20000,0,89800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,100,17850,89950,107800
1980,GRN,11130,62940,0,18520,0,92590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,140,16110,92890,109000
1985,GRN,10000,57000,0,10000,0,77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,77000,91000
1990,GRN,14287,48230,0,12740,0,75257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15743,75257,91000
1995,GRN,15403,49165,0,12870,0,77438,0,0,0,0,0,0,0,0,0,0,0,152,152,0,0,0,0,0,318,0,0,0,0,0,0,0,0,2097,10995,80005,91000
2000,GRN,27491,39221,35,9979,0,76726,0,0,0,0,0,0,0,0,0,0,0,167,167,0,0,0,0,0,123,0,0,0,0,0,0,0,0,6820,4164,83836,88000
2005,GRN,20600,55620,0,20600,0,96820,0,0,0,0,0,0,0,0,0,0,0,500,500,0,0,0,0,0,250,0,0,150,0,0,0,0,0,4957,323,102677,103000
2010,GRN,23852,54209,0,16262,0,94323,0,0,0,0,0,0,0,0,0,0,0,526,526,0,0,0,0,0,263,0,0,157,0,0,0,0,0,5217,7933,100486,108419
1980,SLU,16481,103200,0,3450,0,123131,0,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,575,123425,124000
1985,SLU,16000,119000,0,0,0,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,135000,137000
1990,SLU,15532,115525,0,0,0,131057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,300,0,0,0,0,0,200,243,132757,133000
1995,SLU,18016,115762,0,2200,0,135978,0,0,0,0,0,0,0,0,0,0,0,352,352,0,0,0,0,0,1293,0,0,332,0,0,0,0,0,1873,5172,139828,145000
2000,SLU,33880,103950,0,3300,0,141130,0,0,0,0,0,0,0,0,0,0,0,705,705,0,0,0,0,0,1386,0,0,364,0,0,0,0,0,3547,6868,147132,154000
2005,SLU,38998,102077,0,2962,2119,146156,0,0,0,0,0,0,0,0,0,0,0,434,434,0,0,0,0,0,939,0,0,182,0,0,0,0,0,6611,10678,154322,165000
2010,SLU,44116,100204,0,2624,4239,151183,0,0,0,0,0,0,0,0,0,0,0,164,164,0,0,0,0,0,492,0,0,0,0,0,0,0,0,9676,2485,161515,164000
1980,SVG,20140,18520,0,28540,21450,88650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,800,0,0,0,0,0,590,7907,90093,98000
1985,SVG,21000,20000,0,28000,23000,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,92000,102000
1990,SVG,31100,10073,7500,20000,22750,91423,0,0,0,0,0,0,0,0,0,0,0,1500,1500,0,0,0,0,0,3450,0,0,1200,0,0,0,1580,0,1470,5377,100623,106000
1995,SVG,31510,10166,3800,20830,30135,96441,0,0,0,0,0,0,0,0,0,0,0,750,750,0,0,0,0,0,3640,0,0,1449,0,0,0,790,114,1951,5865,105135,111000
2000,SVG,51744,15750,228,20235,10200,98157,0,0,0,0,0,0,0,0,0,0,0,798,798,0,0,0,0,0,912,0,0,228,0,0,0,0,228,11499,2178,111822,114000
2005,SVG,40016,39647,114,10949,5100,95826,0,0,0,0,0,0,0,0,0,0,0,451,451,0,0,0,0,0,612,0,0,201,0,0,0,0,114,6737,59,103941,104000
2010,SVG,28288,63544,0,1664,0,93496,0,0,0,0,0,0,0,0,0,0,0,104,104,0,0,0,0,0,312,0,0,175,0,0,0,0,0,1976,7937,96063,104000
1980,AAB,23300,6750,0,23100,0,53150,0,0,0,0,0,0,0,0,0,0,280,320,600,0,0,0,0,0,0,0,0,500,0,0,0,0,1500,0,7250,55750,63000
1985,AAB,22000,8000,0,22750,0,52750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11250,52750,64000
1990,AAB,27334,6214,0,14102,0,47650,0,0,0,0,0,0,0,0,0,0,0,300,300,0,0,0,0,0,50,0,0,500,0,0,0,0,2000,1946,6909,52446,59355
